日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600729,重庆百货,32.52,33.88,32.5,33.78,33.76,-1.24,-3.673,1.4299,5811303,191156571.0,13220305681.8,13216988641.8
2019-04-25,'600729,重庆百货,33.76,35.1,33.67,34.39,34.16,-0.4,-1.171,1.5277,6209172,213468720.0,13724400978.4,13720957458.4
2019-04-24,'600729,重庆百货,34.16,36.12,33.4,35.93,35.87,-1.71,-4.7672,1.5191,6173859,211777362.0,13887012364.4,13883528044.4
2019-04-23,'600729,重庆百货,35.87,36.63,35.46,36.42,35.99,-0.12,-0.3334,0.715,2905772,104844260.0,14582176039.5,14578517299.5
2019-04-22,'600729,重庆百货,35.99,36.88,35.58,35.66,35.66,0.33,0.9254,1.5347,6237448,227514251.0,14630959455.4,14627288475.4
2019-04-19,'600729,重庆百货,35.66,36.15,35.1,35.11,35.62,0.04,0.1123,1.2086,4911937,176195947.0,14496805061.9,14493167741.9
2019-04-18,'600729,重庆百货,35.62,36.15,34.74,35.69,35.85,-0.23,-0.6416,1.8076,7346608,258872756.0,14480543923.3,14476910683.3
2019-04-17,'600729,重庆百货,35.85,37.88,35.69,37.49,37.56,-1.71,-4.5527,1.9032,7735252,281572539.0,14574045470.2,14570388770.2
2019-04-16,'600729,重庆百货,37.56,38.88,36.88,38.22,38.98,-1.42,-3.6429,1.4299,5811598,217971034.0,15269209145.4,15265378025.4
2019-04-15,'600729,重庆百货,38.98,39.39,38.12,38.38,37.95,1.03,2.7141,1.3683,5561305,216585805.0,15846479565.7,15842503605.7
2019-04-12,'600729,重庆百货,37.95,38.15,37.51,37.85,37.85,0.1,0.2642,0.5049,2052064,77792889.0,15427755246.8,15423884346.8
2019-04-11,'600729,重庆百货,37.85,38.72,37.39,38.39,38.18,-0.33,-0.8643,0.8776,3566697,135165116.0,15387102400.2,15383241700.2
2019-04-10,'600729,重庆百货,38.18,38.78,37.81,38.33,38.43,-0.25,-0.6505,0.7129,2897394,110774203.0,15521256793.7,15517362433.7
2019-04-09,'600729,重庆百货,38.43,38.8,37.34,37.36,37.34,1.09,2.9191,0.965,3922017,149772397.0,15622888910.0,15618969050.0
2019-04-08,'600729,重庆百货,37.34,38.84,37.16,38.39,38.65,-1.31,-3.3894,1.2121,4926214,184829101.0,15179772883.1,15175964203.1
2019-04-04,'600729,重庆百货,38.65,39.11,38.2,38.65,38.66,-0.01,-0.0259,0.7705,3131390,120733216.0,15712325172.2,15708382872.2
