日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002721,金一文化,6.66,6.81,6.6,6.7,6.75,-0.09,-1.3333,1.2082,8920830,59804241.04,5559222905.64,4917373770.6
2019-04-25,'002721,金一文化,6.75,7.1,6.63,7.07,7.09,-0.34,-4.7955,2.357,17402551,120045066.75,5634347539.5,4983824767.5
2019-04-24,'002721,金一文化,7.09,7.22,6.9,7.2,7.31,-0.22,-3.0096,3.0749,22703503,160110264.06,5918151711.86,5234861866.9
2019-04-23,'002721,金一文化,7.31,7.79,7.27,7.49,7.46,-0.15,-2.0107,5.0377,37195675,281656359.76,6101789705.74,5397297637.1
2019-04-22,'002721,金一文化,7.46,7.57,7.2,7.3,7.3,0.16,2.1918,3.3111,24447460,181033991.48,6226997428.84,5508049298.6
2019-04-19,'002721,金一文化,7.3,7.43,7.21,7.35,7.37,-0.07,-0.9498,2.0459,15105779,110231226.01,6093442524.2,5389914193.0
2019-04-18,'002721,金一文化,7.37,7.53,7.26,7.34,7.31,0.06,0.8208,2.9528,21802076,160774844.04,6151872794.98,5441598301.7
2019-04-17,'002721,金一文化,7.31,7.48,7.13,7.18,7.24,0.07,0.9669,3.0124,22242235,163044359.0,6101789705.74,5397297637.1
2019-04-16,'002721,金一文化,7.24,7.24,6.87,7.06,7.12,0.12,1.6854,2.5852,19087312,134103883.37,6043359434.96,5345613528.4
2019-04-15,'002721,金一文化,7.12,7.31,7.11,7.19,7.15,-0.03,-0.4196,2.089,15424273,111031203.37,5943193256.48,5257012199.2
2019-04-12,'002721,金一文化,7.15,7.44,7.1,7.36,7.45,-0.3,-4.0268,3.1079,22946855,166176867.91,5968234801.1,5279162531.5
2019-04-11,'002721,金一文化,7.45,7.85,7.15,7.24,7.31,0.14,1.9152,5.5413,40913776,303544735.91,6218650247.3,5500665854.5
2019-04-10,'002721,金一文化,7.31,7.36,6.93,6.99,7.11,0.2,2.8129,4.0058,29576911,212321452.15,6101789705.74,5397297637.1
2019-04-09,'002721,金一文化,7.11,7.49,6.95,6.96,6.88,0.23,3.343,3.6713,27107164,194362103.47,5934846074.94,5249628755.1
2019-04-08,'002721,金一文化,6.88,7.12,6.77,7.11,7.07,-0.19,-2.6874,2.5827,19069456,132572385.33,5742860899.52,5079809540.8
2019-04-04,'002721,金一文化,7.07,7.31,6.96,7.04,7.05,0.02,0.2837,3.2517,24009060,170848767.94,5901457348.78,5220094978.7
2019-04-03,'002721,金一文化,7.05,7.11,6.84,7.08,6.97,0.08,1.1478,2.9596,21852265,152179545.31,5884762985.7,5205328090.5
2019-04-02,'002721,金一文化,6.97,6.98,6.71,6.79,6.76,0.21,3.1065,2.7674,20432600,140184031.0,5817985533.38,5146260537.7
2019-04-01,'002721,金一文化,6.76,6.77,6.51,6.53,6.54,0.22,3.3639,2.1378,15784221,105283451.21,5642694721.04,4991208211.6
2019-03-29,'002721,金一文化,6.54,6.55,6.31,6.38,6.37,0.17,2.6688,1.594,11769251,76123174.16,5459056727.16,4828772441.4
2019-03-28,'002721,金一文化,6.37,6.59,6.34,6.53,6.58,-0.21,-3.1915,1.7501,12921841,83768349.14,5317154640.98,4703253891.7
2019-03-27,'002721,金一文化,6.58,6.7,6.43,6.64,6.61,-0.03,-0.4539,1.9492,14391905,94037369.76,5492445453.32,4858306217.8
2019-03-26,'002721,金一文化,6.61,7.14,6.57,7.1,7.09,-0.48,-6.7701,3.732,27554904,187816147.91,5517486997.94,4880456550.1
2019-03-25,'002721,金一文化,7.09,7.27,7.02,7.08,7.31,-0.22,-3.0096,3.6069,26631242,190671209.44,5918151711.86,5234861866.9
2019-03-22,'002721,金一文化,7.31,7.38,6.88,7.01,7.01,0.3,4.2796,5.5809,41206050,294611811.47,6101789705.74,5397297637.1
