日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300748,金力永磁,23.05,24.11,22.8,24.0,24.1,-1.05,-4.3568,9.6274,4004995,93495650.55,9529427533.4,958880000.0
2019-04-25,'300748,金力永磁,24.1,25.51,24.0,24.61,24.55,-0.45,-1.833,10.4536,4348709,108293023.01,9963522930.8,1002560000.0
2019-04-24,'300748,金力永磁,24.55,24.69,24.16,24.58,24.78,-0.23,-0.9282,5.3109,2209315,53997589.09,10149563815.4,1021280000.0
2019-04-23,'300748,金力永磁,24.78,25.26,23.88,24.9,24.87,-0.09,-0.3619,9.6173,4000781,98340145.95,10244651378.6,1030848000.0
2019-04-22,'300748,金力永磁,24.87,26.09,24.87,26.05,26.06,-1.19,-4.5664,11.1458,4636672,117615580.67,10281859555.6,1034592000.0
2019-04-19,'300748,金力永磁,26.06,26.5,25.43,26.39,26.69,-0.63,-2.3604,13.0538,5430396,141256510.42,10773834339.3,1084096000.0
2019-04-18,'300748,金力永磁,26.69,27.25,25.9,25.98,25.93,0.76,2.931,21.8204,9077267,243342578.97,11034291577.7,1110304000.0
2019-04-17,'300748,金力永磁,25.93,26.4,25.81,26.15,26.37,-0.44,-1.6686,10.5624,4393946,114332616.04,10720089194.8,1078688000.0
2019-04-16,'300748,金力永磁,26.37,26.38,25.1,25.11,25.33,1.04,4.1058,13.1587,5474017,141750154.22,10901995837.6,1096992000.0
2019-04-15,'300748,金力永磁,25.33,25.77,25.28,25.36,25.14,0.19,0.7558,8.2279,3422796,87148590.86,10472034682.0,1053728000.0
2019-04-12,'300748,金力永磁,25.25,25.49,24.99,25.11,25.14,0.11,0.4375,5.2189,2171046,54847507.32,10438960747.0,1050400000.0
2019-04-11,'300748,金力永磁,25.14,25.38,24.8,25.08,25.05,0.09,0.3593,6.5076,2707144,68103763.96,10393484086.3,1045824000.0
2019-04-10,'300748,金力永磁,25.05,25.43,24.86,25.43,25.62,-0.57,-2.2248,7.3789,3069623,77071129.01,10356275909.4,1042080000.0
2019-04-09,'300748,金力永磁,25.62,26.29,25.39,26.29,26.48,-0.86,-3.2477,10.8677,4520954,116102327.88,10591927696.6,1065792000.0
2019-04-08,'300748,金力永磁,26.48,27.28,26.26,26.94,26.88,-0.4,-1.4881,13.5964,5656122,151390289.55,10947472498.2,1101568000.0
2019-04-04,'300748,金力永磁,26.88,27.3,26.2,26.64,26.5,0.38,1.434,15.7507,6552283,175151115.15,11112842173.4,1118208000.0
2019-04-03,'300748,金力永磁,26.5,26.85,26.2,26.57,27.0,-0.5,-1.8519,13.0101,5412213,143239471.45,10955740982.0,1102400000.0
2019-04-02,'300748,金力永磁,27.0,27.16,25.6,25.9,25.8,1.2,4.6512,20.8128,8658140,227842576.62,11162453076.0,1123200000.0
2019-04-01,'300748,金力永磁,25.8,25.87,24.95,24.95,24.92,0.88,3.5313,11.1754,4648957,118689080.35,10666344050.4,1073280000.0
2019-03-29,'300748,金力永磁,24.92,24.97,23.83,24.4,24.36,0.56,2.2989,10.116,4208271,103120526.57,10302530765.0,1036672000.0
2019-03-28,'300748,金力永磁,24.36,25.08,24.3,24.3,24.91,-0.55,-2.2079,7.9524,3308199,81620518.85,10071013219.7,1013376000.0
2019-03-27,'300748,金力永磁,24.91,25.85,24.51,25.75,25.51,-0.6,-2.352,9.505,3954074,98870692.08,10298396523.1,1036256000.0
2019-03-26,'300748,金力永磁,25.51,26.05,25.45,25.7,25.6,-0.09,-0.3516,8.8539,3683208,94838568.84,10546451035.9,1061216000.0
2019-03-25,'300748,金力永磁,25.6,26.23,25.6,25.86,26.56,-0.96,-3.6145,10.2999,4284759,111083469.26,10583659212.8,1064960000.0
2019-03-22,'300748,金力永磁,26.56,27.1,26.27,26.84,26.93,-0.37,-1.3739,9.9095,4122355,109978953.1,10980546433.3,1104896000.0
2019-03-21,'300748,金力永磁,26.93,27.28,26.58,26.87,26.98,-0.05,-0.1853,13.2348,5505670,148318295.85,11133513382.8,1120288000.0
2019-03-20,'300748,金力永磁,26.98,27.88,26.16,27.88,27.85,-0.87,-3.1239,19.8955,8276535,222649225.06,11154184592.2,1122368000.0
2019-03-19,'300748,金力永磁,27.85,27.9,27.3,27.3,27.66,0.19,0.6869,14.148,5885582,162708805.69,11513863635.8,1158560000.0
2019-03-18,'300748,金力永磁,27.66,28.98,27.5,28.35,27.2,0.46,1.6912,18.3516,7634249,213829929.05,11435313040.1,1150656000.0
2019-03-15,'300748,金力永磁,27.2,27.28,26.32,26.61,26.78,0.42,1.5683,15.8231,6582404,176706375.63,11245137913.6,1131520000.0
2019-03-14,'300748,金力永磁,26.78,28.36,26.2,27.54,27.7,-0.92,-3.3213,19.574,8142789,224092389.26,11071499754.6,1114048000.0
2019-03-13,'300748,金力永磁,27.7,28.5,27.31,28.36,28.56,-0.86,-3.0112,20.0783,8352552,232678905.88,11451850007.6,1152320000.0
2019-03-12,'300748,金力永磁,28.56,29.3,27.98,28.69,28.75,-0.19,-0.6609,26.5577,11048017,317632933.13,11807394809.3,1188096000.0
2019-03-11,'300748,金力永磁,28.75,28.85,27.05,27.99,28.29,0.46,1.626,26.4044,10984221,307731816.95,11885945405.0,1196000000.0
2019-03-08,'300748,金力永磁,28.29,31.27,28.29,30.31,31.43,-3.14,-9.9905,44.0171,18311110,546008944.65,11695770278.5,1176864000.0
2019-03-07,'300748,金力永磁,31.43,31.43,27.53,27.99,28.57,2.86,10.0105,38.7581,16123364,475249471.56,12993922228.8,1307488000.0
2019-03-06,'300748,金力永磁,28.57,29.35,26.9,27.08,27.12,1.45,5.3466,41.9671,17458306,492566166.62,11811529051.2,1188512000.0
