日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600586,金晶科技,3.31,3.36,3.3,3.34,3.35,-0.04,-1.194,0.8894,12844200,42691285.0,4826979951.0,4780089167.0
2019-04-25,'600586,金晶科技,3.35,3.5,3.33,3.5,3.51,-0.16,-4.5584,1.527,22052039,75375746.0,4885312035.0,4837854595.0
2019-04-24,'600586,金晶科技,3.51,3.51,3.44,3.48,3.46,0.05,1.4451,0.9136,13193561,45886006.0,5118640371.0,5068916307.0
2019-04-23,'600586,金晶科技,3.46,3.57,3.45,3.53,3.53,-0.07,-1.983,1.4966,21612300,75669636.0,5045725266.0,4996709522.0
2019-04-22,'600586,金晶科技,3.53,3.68,3.53,3.65,3.64,-0.11,-3.022,1.8446,26639101,96059615.0,5147806413.0,5097799021.0
2019-04-19,'600586,金晶科技,3.64,3.64,3.56,3.61,3.58,0.06,1.676,1.2074,17436611,62755488.0,5308219644.0,5256653948.0
2019-04-18,'600586,金晶科技,3.58,3.69,3.57,3.64,3.66,-0.08,-2.1858,2.0235,29221805,106049055.0,5220721518.0,5170005806.0
2019-04-17,'600586,金晶科技,3.66,3.68,3.52,3.55,3.57,0.09,2.521,2.557,36926983,132916359.0,5337385686.0,5285536662.0
2019-04-16,'600586,金晶科技,3.57,3.57,3.43,3.51,3.5,0.07,2.0,1.7169,24793930,86828295.0,5206138497.0,5155564449.0
2019-04-15,'600586,金晶科技,3.5,3.6,3.5,3.57,3.54,-0.04,-1.1299,1.4424,20830002,74200505.0,5104057350.0,5054474950.0
2019-04-12,'600586,金晶科技,3.54,3.64,3.52,3.61,3.62,-0.08,-2.2099,1.6052,23181968,82612992.0,5162389434.0,5112240378.0
2019-04-11,'600586,金晶科技,3.62,3.75,3.62,3.75,3.75,-0.13,-3.4667,1.6647,24041162,88386781.0,5279053602.0,5227771234.0
2019-04-10,'600586,金晶科技,3.75,3.76,3.67,3.7,3.72,0.03,0.8065,1.3694,19776523,73574057.0,5468632875.0,5415508875.0
2019-04-09,'600586,金晶科技,3.72,3.74,3.67,3.74,3.73,-0.01,-0.2681,1.1697,16892550,62577058.0,5424883812.0,5372184804.0
2019-04-08,'600586,金晶科技,3.73,3.81,3.67,3.77,3.74,-0.01,-0.2674,1.8039,26050409,97531425.0,5439466833.0,5386626161.0
2019-04-04,'600586,金晶科技,3.74,3.77,3.7,3.74,3.73,0.01,0.2681,1.5491,22371516,83559697.0,5454049854.0,5401067518.0
2019-04-03,'600586,金晶科技,3.73,3.75,3.66,3.68,3.69,0.04,1.084,1.5152,21881678,81248179.0,5439466833.0,5386626161.0
2019-04-02,'600586,金晶科技,3.69,3.78,3.68,3.78,3.74,-0.05,-1.3369,1.4535,20991176,77930911.0,5381134749.0,5328860733.0
2019-04-01,'600586,金晶科技,3.74,3.76,3.63,3.63,3.63,0.11,3.0303,2.2453,32425062,120301787.0,5454049854.0,5401067518.0
2019-03-29,'600586,金晶科技,3.63,3.63,3.48,3.53,3.51,0.12,3.4188,0.9834,14202184,50631606.0,5293636623.0,5242212591.0
2019-03-28,'600586,金晶科技,3.51,3.61,3.49,3.55,3.56,-0.05,-1.4045,0.8052,11628390,41317502.0,5118640371.0,5068916307.0
2019-03-27,'600586,金晶科技,3.56,3.62,3.46,3.6,3.58,-0.02,-0.5587,0.9126,13179305,46642019.0,5191555476.0,5141123092.0
2019-03-26,'600586,金晶科技,3.58,3.71,3.56,3.68,3.68,-0.1,-2.7174,1.3679,19753911,71631268.0,5220721518.0,5170005806.0
2019-03-25,'600586,金晶科技,3.68,3.76,3.53,3.57,3.64,0.04,1.0989,2.396,34601567,127409208.0,5366551728.0,5314419376.0
2019-03-22,'600586,金晶科技,3.64,3.66,3.57,3.66,3.67,-0.03,-0.8174,1.2114,17494446,63157316.0,5308219644.0,5256653948.0
2019-03-21,'600586,金晶科技,3.67,3.68,3.61,3.63,3.62,0.05,1.3812,1.3647,19708009,72036610.0,5351968707.0,5299978019.0
2019-03-20,'600586,金晶科技,3.62,3.63,3.55,3.58,3.58,0.04,1.1173,1.0129,14627822,52659365.0,5279053602.0,5227771234.0
2019-03-19,'600586,金晶科技,3.58,3.64,3.56,3.62,3.63,-0.05,-1.3774,0.8833,12756375,45887267.0,5220721518.0,5170005806.0
2019-03-18,'600586,金晶科技,3.63,3.63,3.49,3.52,3.52,0.11,3.125,1.0903,15745183,56190964.0,5293636623.0,5242212591.0
2019-03-15,'600586,金晶科技,3.52,3.55,3.45,3.46,3.44,0.08,2.3256,1.0982,15859903,55576211.0,5133223392.0,5083357664.0
2019-03-14,'600586,金晶科技,3.44,3.58,3.41,3.56,3.56,-0.12,-3.3708,1.1426,16500772,57331804.0,5016559224.0,4967826808.0
