日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600609,金杯汽车,4.7,4.87,4.68,4.79,4.8,-0.1,-2.0833,0.6354,6942700,33091851.0,5135535520.4,5135535520.4
2019-04-25,'600609,金杯汽车,4.8,5.01,4.78,4.92,4.98,-0.18,-3.6145,0.7253,7924793,38520041.0,5244802233.6,5244802233.6
2019-04-24,'600609,金杯汽车,4.98,5.04,4.83,4.86,4.79,0.19,3.9666,1.073,11724330,57993944.0,5441482317.36,5441482317.36
2019-04-23,'600609,金杯汽车,4.79,5.02,4.78,5.02,4.98,-0.19,-3.8153,0.9055,9893927,48230123.0,5233875562.28,5233875562.28
2019-04-22,'600609,金杯汽车,4.98,5.08,4.96,5.07,5.08,-0.1,-1.9685,0.9288,10148933,50678672.0,5441482317.36,5441482317.36
2019-04-19,'600609,金杯汽车,5.08,5.18,4.93,5.1,5.13,-0.05,-0.9747,1.4519,15864424,79899130.0,5550749030.56,5550749030.56
2019-04-18,'600609,金杯汽车,5.13,5.38,5.09,5.25,5.32,-0.19,-3.5714,2.0103,21966257,114374622.0,5605382387.16,5605382387.16
2019-04-17,'600609,金杯汽车,5.32,5.55,5.1,5.13,5.11,0.21,4.1096,2.6825,29311124,155696434.0,5812989142.24,5812989142.24
2019-04-16,'600609,金杯汽车,5.11,5.17,4.95,5.1,5.19,-0.08,-1.5414,1.6139,17634368,89279546.0,5583529044.52,5583529044.52
2019-04-15,'600609,金杯汽车,5.19,5.37,4.79,5.11,5.09,0.1,1.9646,2.9357,32077831,163301717.0,5670942415.08,5670942415.08
2019-04-12,'600609,金杯汽车,5.09,5.34,4.94,5.11,4.95,0.14,2.8283,2.4058,26287686,135014261.0,5561675701.88,5561675701.88
2019-04-11,'600609,金杯汽车,4.95,5.44,4.91,5.07,5.25,-0.3,-5.7143,4.0218,43944829,227033216.0,5408702303.4,5408702303.4
2019-04-10,'600609,金杯汽车,5.25,5.43,4.85,4.94,4.94,0.31,6.2753,5.0528,55209956,289514587.0,5736502443.0,5736502443.0
2019-04-09,'600609,金杯汽车,4.94,4.94,4.4,4.49,4.49,0.45,10.0223,2.285,24967350,118158903.0,5397775632.08,5397775632.08
2019-04-08,'600609,金杯汽车,4.49,4.66,4.28,4.35,4.3,0.19,4.4186,2.5423,27779343,123844845.0,4906075422.68,4906075422.68
2019-04-04,'600609,金杯汽车,4.3,4.46,4.14,4.18,4.17,0.13,3.1175,2.0454,22349262,96021632.0,4698468667.6,4698468667.6
