日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603311,金海环境,11.24,11.41,11.11,11.25,11.41,-0.17,-1.4899,0.8145,1710390,19208708.0,2360400000.0,2360400000.0
2019-04-25,'603311,金海环境,11.41,11.87,11.38,11.87,11.88,-0.47,-3.9562,1.1245,2361500,27320707.0,2396100000.0,2396100000.0
2019-04-24,'603311,金海环境,11.88,11.96,11.71,11.84,11.83,0.05,0.4227,0.7328,1538800,18230399.0,2494800000.0,2494800000.0
2019-04-23,'603311,金海环境,11.83,12.11,11.77,12.11,12.09,-0.26,-2.1505,0.7976,1674900,19959690.0,2484300000.0,2484300000.0
2019-04-22,'603311,金海环境,12.09,12.36,12.09,12.36,12.37,-0.28,-2.2635,1.1596,2435200,29618079.0,2538900000.0,2538900000.0
2019-04-19,'603311,金海环境,12.37,12.55,12.21,12.43,12.38,-0.01,-0.0808,1.0369,2177421,26951333.0,2597700000.0,2597700000.0
2019-04-18,'603311,金海环境,12.38,12.77,12.26,12.46,12.46,-0.08,-0.6421,2.3446,4923558,61628604.0,2599800000.0,2599800000.0
2019-04-17,'603311,金海环境,12.46,12.48,11.97,12.12,12.07,0.39,3.2312,2.1037,4417838,54404055.0,2616600000.0,2616600000.0
2019-04-16,'603311,金海环境,12.07,12.1,11.72,12.04,12.07,0.0,0.0,1.1554,2426300,28951821.0,2534700000.0,2534700000.0
2019-04-15,'603311,金海环境,12.07,12.34,12.04,12.04,11.94,0.13,1.0888,1.374,2885401,35203311.0,2534700000.0,2534700000.0
2019-04-12,'603311,金海环境,11.94,12.08,11.85,12.07,12.02,-0.08,-0.6656,0.5849,1228204,14671857.0,2507400000.0,2507400000.0
2019-04-11,'603311,金海环境,12.02,12.33,11.98,12.33,12.3,-0.28,-2.2764,1.0774,2262487,27385369.0,2524200000.0,2524200000.0
2019-04-10,'603311,金海环境,12.3,12.43,12.15,12.18,12.25,0.05,0.4082,1.4385,3020924,37188899.0,2583000000.0,2583000000.0
2019-04-09,'603311,金海环境,12.25,12.31,12.07,12.19,12.19,0.06,0.4922,1.0476,2200017,26823273.0,2572500000.0,2572500000.0
2019-04-08,'603311,金海环境,12.19,12.27,11.89,12.12,12.06,0.13,1.0779,1.5763,3310201,40209763.0,2559900000.0,2559900000.0
2019-04-04,'603311,金海环境,12.06,12.21,12.01,12.14,12.13,-0.07,-0.5771,0.912,1915304,23135776.0,2532600000.0,2532600000.0
2019-04-03,'603311,金海环境,12.13,12.15,11.87,11.93,11.96,0.17,1.4214,0.9722,2041670,24618064.0,2547300000.0,2547300000.0
2019-04-02,'603311,金海环境,11.96,12.15,11.89,11.94,11.93,0.03,0.2515,1.068,2242717,26938744.0,2511600000.0,2511600000.0
2019-04-01,'603311,金海环境,11.93,11.96,11.62,11.66,11.61,0.32,2.7562,1.0662,2238940,26523890.0,2505300000.0,2505300000.0
2019-03-29,'603311,金海环境,11.61,11.66,11.37,11.38,11.37,0.24,2.1108,0.6385,1340940,15478728.0,2438100000.0,2438100000.0
2019-03-28,'603311,金海环境,11.37,11.61,11.33,11.43,11.39,-0.02,-0.1756,0.6518,1368700,15686998.0,2387700000.0,2387700000.0
