日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000656,金科股份,7.55,7.74,7.51,7.6,7.73,-0.18,-2.3286,0.4201,22218927,169404627.57,40314854410.8,39928256660.8
2019-04-25,'000656,金科股份,7.73,7.89,7.67,7.76,7.79,-0.06,-0.7702,0.3763,19898792,154543001.81,41276003257.7,40880188607.7
2019-04-24,'000656,金科股份,7.79,7.91,7.65,7.82,7.82,-0.03,-0.3836,0.3362,17778610,138237655.36,41596386206.6,41197499256.6
2019-04-23,'000656,金科股份,7.82,7.97,7.58,7.6,7.63,0.19,2.4902,0.6258,33097562,257939659.94,41756577681.1,41356154581.1
2019-04-22,'000656,金科股份,7.63,7.88,7.3,7.88,7.91,-0.28,-3.5398,0.8112,42898392,325200753.41,40742031676.1,40351337526.1
2019-04-19,'000656,金科股份,7.91,7.99,7.83,7.87,7.88,0.03,0.3807,0.3405,18008562,141982228.95,42237152104.6,41832120554.6
2019-04-18,'000656,金科股份,7.88,7.97,7.86,7.93,7.97,-0.09,-1.1292,0.3427,18125965,143324276.92,42076960630.1,41673465230.1
2019-04-17,'000656,金科股份,7.97,8.14,7.94,8.07,7.99,-0.02,-0.2503,0.5187,27431198,220379459.96,42557535053.5,42149431203.5
2019-04-16,'000656,金科股份,7.99,8.05,7.72,7.82,7.98,0.01,0.1253,0.7333,38778680,307416138.76,42664329369.8,42255201419.8
2019-04-15,'000656,金科股份,7.98,8.29,7.96,8.22,8.13,-0.15,-1.845,0.7401,39139288,315068844.64,42610932211.7,42202316311.7
2019-04-12,'000656,金科股份,8.13,8.17,7.87,7.95,7.95,0.18,2.2642,0.7984,42223138,338863415.31,43411889584.1,42995592934.1
2019-04-11,'000656,金科股份,7.95,8.13,7.92,8.01,8.06,-0.11,-1.3648,1.1132,58869626,470295873.25,42450740737.2,42043660987.2
2019-04-10,'000656,金科股份,8.06,8.4,8.03,8.13,8.19,-0.13,-1.5873,1.2013,63529525,519533901.38,43038109477.0,42625397177.0
2019-04-09,'000656,金科股份,8.19,8.55,7.8,7.94,7.94,0.25,3.1486,1.5617,82588571,675894743.74,43732272533.0,43312903583.0
2019-04-08,'000656,金科股份,7.94,8.03,7.66,7.74,7.68,0.26,3.3854,1.3052,69026517,541798448.89,42397343579.0,41990775879.0
2019-04-04,'000656,金科股份,7.68,7.74,7.43,7.43,7.49,0.19,2.5367,0.9083,48038169,365936861.32,41009017466.9,40615763066.9
2019-04-03,'000656,金科股份,7.49,7.64,7.25,7.42,7.48,0.01,0.1337,1.027,54313417,405623552.47,39994471461.8,39610946011.8
2019-04-02,'000656,金科股份,7.48,7.56,7.42,7.45,7.47,0.01,0.1339,1.078,57010644,426458400.23,39941074303.7,39558060903.7
2019-04-01,'000656,金科股份,7.47,7.76,7.22,7.31,7.3,0.17,2.3288,1.712,90538749,677663483.56,39887677145.5,39505175795.5
2019-03-29,'000656,金科股份,7.3,7.42,6.86,7.0,7.01,0.29,4.1369,1.9261,101861287,732998771.7,38979925456.8,38606128956.8
2019-03-28,'000656,金科股份,7.01,7.3,6.91,7.13,7.08,-0.07,-0.9887,1.4771,78114364,553229345.19,37431407870.2,37072460820.2
2019-03-27,'000656,金科股份,7.08,7.08,6.44,6.46,6.44,0.64,9.9379,2.3363,123553085,859474690.23,37805187977.3,37442656577.3
2019-03-26,'000656,金科股份,6.44,6.72,6.35,6.64,6.57,-0.13,-1.9787,0.7144,37783379,245359365.02,34387769855.0,34058009655.0
2019-03-25,'000656,金科股份,6.57,6.79,6.5,6.65,6.64,-0.07,-1.0542,0.8554,45240000,299429120.75,35081932911.1,34745516061.1
2019-03-22,'000656,金科股份,6.64,6.66,6.4,6.49,6.43,0.21,3.2659,0.9699,51295879,336169268.01,35455713018.2,35115711818.2
2019-03-21,'000656,金科股份,6.43,6.63,6.41,6.42,6.42,0.01,0.1558,0.9561,50562459,328777393.1,34334372696.9,34005124546.9
2019-03-20,'000656,金科股份,6.42,6.51,6.33,6.41,6.41,0.01,0.156,0.7612,40258010,257997788.29,34280975538.7,33952239438.7
2019-03-19,'000656,金科股份,6.41,6.51,6.28,6.33,6.33,0.08,1.2638,0.9541,50456393,322913145.76,34227578380.6,33899354330.6
2019-03-18,'000656,金科股份,6.33,6.4,5.94,5.94,5.94,0.39,6.5657,1.0784,57033479,354000187.19,33800401115.3,33476273465.3
2019-03-15,'000656,金科股份,5.94,5.99,5.89,5.91,5.91,0.03,0.5076,0.3351,17721152,105293546.46,31717911947.0,31413754247.0
2019-03-14,'000656,金科股份,5.91,6.01,5.86,5.99,6.0,-0.09,-1.5,0.5406,28587220,169330523.25,31557720472.6,31255098922.6
2019-03-13,'000656,金科股份,6.0,6.06,5.86,5.94,5.97,0.03,0.5025,0.6313,33385492,199164081.36,32038294896.0,31731064896.0
2019-03-12,'000656,金科股份,5.97,6.05,5.92,5.98,5.98,-0.01,-0.1672,0.5905,31226774,187111379.42,31878103421.5,31572409571.5
2019-03-11,'000656,金科股份,5.98,6.03,5.9,5.9,6.0,-0.02,-0.3333,0.514,27185156,161882563.45,31931500579.7,31625294679.7
2019-03-08,'000656,金科股份,6.0,6.32,5.95,6.31,6.38,-0.38,-5.9561,0.9364,49519498,301611532.69,32038294896.0,31731064896.0
2019-03-07,'000656,金科股份,6.38,6.5,6.27,6.35,6.31,0.07,1.1094,0.7686,40645549,259038953.05,34067386906.1,33740699006.1
2019-03-06,'000656,金科股份,6.31,6.33,6.21,6.32,6.34,-0.03,-0.4732,0.5631,29781719,186742262.12,33693606799.0,33370503249.0
2019-03-05,'000656,金科股份,6.34,6.35,6.09,6.19,6.17,0.17,2.7553,0.7196,38058422,237032029.24,33853798273.4,33529158573.4
2019-03-04,'000656,金科股份,6.17,6.36,6.09,6.14,6.09,0.08,1.3136,0.8859,46850356,290681815.31,32946046584.7,32630111734.7
2019-03-01,'000656,金科股份,6.09,6.09,5.99,6.05,6.03,0.06,0.995,0.3466,18327725,110721950.0,32518869319.4,32207030869.4
2019-02-28,'000656,金科股份,6.03,6.1,5.95,5.98,6.0,0.03,0.5,0.2956,15632965,94343525.02,32198486370.5,31889720220.5
2019-02-27,'000656,金科股份,6.0,6.12,5.97,6.06,6.09,-0.09,-1.4778,0.5082,26877733,161927751.08,32038294896.0,31731064896.0
2019-02-26,'000656,金科股份,6.09,6.22,6.04,6.15,6.14,-0.05,-0.8143,0.584,30886995,188673163.3,32518869319.4,32207030869.4
2019-02-25,'000656,金科股份,6.14,6.15,5.97,5.98,5.97,0.17,2.8476,0.5737,30339068,184360243.8,32785855110.2,32471456410.2
2019-02-22,'000656,金科股份,5.97,5.98,5.89,5.92,5.95,0.02,0.3361,0.194,10261129,60971405.1,31878103421.5,31572409571.5
2019-02-21,'000656,金科股份,5.95,6.02,5.85,6.02,5.99,-0.04,-0.6678,0.2361,12484584,74212907.16,31771309105.2,31466639355.2
2019-02-20,'000656,金科股份,5.99,6.04,5.95,6.01,5.98,0.01,0.1672,0.1733,9165430,54906321.12,31984897737.8,31678179787.8
2019-02-19,'000656,金科股份,5.98,6.11,5.97,6.1,6.11,-0.13,-2.1277,0.2674,14140659,85425244.72,31931500579.7,31625294679.7
2019-02-18,'000656,金科股份,6.11,6.15,5.92,5.92,5.93,0.18,3.0354,0.3806,20130670,121919607.02,32625663635.8,32312801085.8
2019-02-15,'000656,金科股份,5.93,6.0,5.93,5.99,6.0,-0.07,-1.1667,0.1729,9141900,54472738.56,31664514788.9,31360869138.9
2019-02-14,'000656,金科股份,6.0,6.05,5.95,6.03,6.0,0.0,0.0,0.2256,11932303,71615003.06,32038294896.0,31731064896.0
2019-02-13,'000656,金科股份,6.0,6.1,5.97,6.02,5.99,0.01,0.1669,0.3057,16164826,97232580.97,32038294896.0,31731064896.0
2019-02-12,'000656,金科股份,5.99,6.2,5.96,6.0,5.99,0.0,0.0,0.3377,17860060,108592090.0,31984897737.8,31678179787.8
2019-02-11,'000656,金科股份,5.99,6.0,5.86,5.89,5.89,0.1,1.6978,0.1977,10454215,62453329.18,31984897737.8,31678179787.8
2019-02-01,'000656,金科股份,5.89,5.9,5.71,5.77,5.72,0.17,2.972,0.2972,15714869,91466165.54,31450926156.2,31149328706.2
2019-01-31,'000656,金科股份,5.72,5.78,5.64,5.7,5.67,0.05,0.8818,0.1726,9126264,52161949.06,30543174467.5,30250281867.5
2019-01-30,'000656,金科股份,5.67,5.74,5.58,5.65,5.64,0.03,0.5319,0.1893,10010591,56896574.36,30276188676.7,29985856326.7
2019-01-29,'000656,金科股份,5.64,5.75,5.52,5.69,5.69,-0.05,-0.8787,0.2073,10963299,61681416.71,30115997202.2,29827201002.2
2019-01-28,'000656,金科股份,5.69,5.78,5.55,5.56,5.57,0.12,2.1544,0.3077,16274189,92357403.91,30382982993.0,30091626543.0
2019-01-25,'000656,金科股份,5.57,5.67,5.5,5.56,5.56,0.01,0.1799,0.4213,22281644,124112028.76,29742217095.1,29457005245.1
2019-01-24,'000656,金科股份,5.56,5.87,5.42,5.86,5.87,-0.31,-5.2811,0.7352,38879548,216980893.99,29688819937.0,29404120137.0
2019-01-23,'000656,金科股份,5.87,5.96,5.79,5.96,5.96,-0.09,-1.5101,0.2272,12017447,70402146.34,31344131839.9,31043558489.9
2019-01-22,'000656,金科股份,5.96,5.99,5.89,5.96,5.9,0.06,1.0169,0.2442,12912084,76882702.03,31824706263.4,31519524463.4
2019-01-21,'000656,金科股份,5.9,5.97,5.86,5.87,5.86,0.04,0.6826,0.1932,10215698,60650910.6,31504323314.4,31202213814.4
2019-01-18,'000656,金科股份,5.86,5.87,5.75,5.85,5.78,0.08,1.3841,0.261,13804131,80720777.94,31290734681.8,30990673381.8
2019-01-17,'000656,金科股份,5.78,5.95,5.66,5.94,5.96,-0.18,-3.0201,0.4816,25468535,147910955.72,30863557416.5,30567592516.5
2019-01-16,'000656,金科股份,5.96,6.01,5.88,6.01,5.99,-0.03,-0.5008,0.2067,10932846,64856941.39,31824706263.4,31519524463.4
2019-01-15,'000656,金科股份,5.99,6.0,5.88,5.99,5.94,0.05,0.8418,0.187,9891571,58746052.91,31984897737.8,31678179787.8
2019-01-14,'000656,金科股份,5.94,6.05,5.91,6.0,5.97,-0.03,-0.5025,0.1257,6647372,39691376.4,31717911947.0,31413754247.0
2019-01-11,'000656,金科股份,5.97,6.13,5.95,6.08,6.09,-0.12,-1.9704,0.2416,12776883,76693547.27,31878103421.5,31572409571.5
2019-01-10,'000656,金科股份,6.09,6.12,5.94,5.94,5.92,0.17,2.8716,0.2945,15577144,94374330.35,32518869319.4,32207030869.4
2019-01-09,'000656,金科股份,5.92,6.06,5.91,5.96,5.94,-0.02,-0.3367,0.323,17083633,102438184.49,31611117630.7,31307984030.7
2019-01-08,'000656,金科股份,5.94,6.02,5.93,6.0,6.0,-0.06,-1.0,0.2248,11886218,71119974.47,31717911947.0,31413754247.0
2019-01-07,'000656,金科股份,6.0,6.18,5.99,6.17,6.16,-0.16,-2.5974,0.3432,18152096,109658600.42,32038294896.0,31731064896.0
2019-01-04,'000656,金科股份,6.16,6.18,6.07,6.08,6.16,0.0,0.0,0.2622,13869071,85035879.14,32892649426.6,32577226626.6
