日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002202,金风科技,11.59,12.11,11.3,12.1,12.12,-0.53,-4.3729,1.8655,64389350,748336407.33,47537035059.9,40002829924.3
2019-04-25,'002202,金风科技,12.12,12.49,12.08,12.41,12.52,-0.4,-3.1949,0.7878,27189839,333541002.23,49710859786.6,41832122405.8
2019-04-24,'002202,金风科技,12.52,12.52,12.28,12.34,12.35,0.17,1.3765,0.7711,26613493,330298153.23,51351482221.8,43212720505.0
2019-04-23,'002202,金风科技,12.35,12.69,12.27,12.69,12.65,-0.3,-2.3715,1.0431,36001434,446230986.82,50654217686.8,42625966312.8
2019-04-22,'002202,金风科技,12.65,12.97,12.6,12.95,12.89,-0.24,-1.8619,1.0219,35269711,448492205.95,51884684513.2,43661414887.2
2019-04-19,'002202,金风科技,12.89,13.08,12.68,13.08,13.03,-0.14,-1.0744,1.0702,36937869,474465206.67,52869057974.3,44489773746.7
2019-04-18,'002202,金风科技,13.03,13.28,13.0,13.28,13.3,-0.27,-2.0301,1.0457,36091060,472085575.09,53443275826.6,44972983081.4
2019-04-17,'002202,金风科技,13.3,13.35,12.86,12.96,12.96,0.34,2.6235,1.8282,63101326,831522575.7,54550695970.4,45904886798.4
2019-04-16,'002202,金风科技,12.96,12.97,12.5,12.79,12.79,0.17,1.3292,1.2512,43184400,548871820.3,53156166900.5,44731378414.1
2019-04-15,'002202,金风科技,12.79,13.26,12.78,12.99,12.86,-0.07,-0.5443,1.5158,52317572,680838644.89,52458902365.5,44144624221.9
2019-04-12,'002202,金风科技,12.86,13.08,12.5,13.01,13.01,-0.15,-1.153,2.0041,69170458,877772140.7,52746011291.7,44386228889.3
2019-04-11,'002202,金风科技,13.01,13.65,12.96,13.5,13.68,-0.67,-4.8977,2.3314,80468211,1059776400.22,53361244704.9,44903953176.5
2019-04-10,'002202,金风科技,13.68,13.88,13.6,13.79,13.8,-0.12,-0.8696,1.0102,34866990,477907775.51,56109287283.8,47216454992.6
2019-04-09,'002202,金风科技,13.8,13.84,13.46,13.55,13.49,0.31,2.298,1.4749,50904429,699417654.56,56601474014.4,47630634422.4
2019-04-08,'002202,金风科技,13.49,13.84,13.31,13.71,13.71,-0.22,-1.6047,1.7441,60196483,814655805.47,56996162558.0,46560670895.5
2019-04-04,'002202,金风科技,13.71,14.04,13.58,14.02,13.96,-0.25,-1.7908,1.9993,69007170,948704112.11,56232333966.5,47319999850.1
2019-04-03,'002202,金风科技,13.96,14.09,13.79,14.09,14.09,-0.13,-0.9226,1.4188,48971177,682124200.56,57257722988.5,48182873662.1
2019-04-02,'002202,金风科技,14.09,14.52,14.0,14.52,14.6,-0.51,-3.4932,2.4159,83383644,1180649012.17,57790925279.9,48631568044.3
2019-04-01,'002202,金风科技,14.6,14.95,14.0,14.48,14.55,0.05,0.3436,3.0705,105979777,1509910810.68,59882718884.8,50391830620.8
2019-03-29,'002202,金风科技,14.55,14.71,13.16,13.65,14.62,-0.07,-0.4788,2.2971,79285243,1103619346.02,59677641080.4,50219255858.4
2019-03-28,'002202,金风科技,0.0,0.0,0.0,0.0,16.05,None,None,0.0,0,0.0,57077062965.0,46643586483.0
2019-03-27,'002202,金风科技,0.0,0.0,0.0,0.0,16.05,None,None,0.0,0,0.0,57077062965.0,46643586483.0
2019-03-26,'002202,金风科技,0.0,0.0,0.0,0.0,16.05,None,None,0.0,0,0.0,57077062965.0,46643586483.0
2019-03-25,'002202,金风科技,0.0,0.0,0.0,0.0,16.05,None,None,0.0,0,0.0,57077062965.0,46643586483.0
2019-03-22,'002202,金风科技,0.0,0.0,0.0,0.0,16.05,None,None,0.0,0,0.0,57077062965.0,46643586483.0
2019-03-21,'002202,金风科技,0.0,0.0,0.0,0.0,16.05,None,None,0.0,0,0.0,57077062965.0,46643586483.0
2019-03-20,'002202,金风科技,16.05,16.15,15.1,15.15,14.68,1.37,9.3324,3.9262,114100431,1805485285.72,57077062965.0,46643586483.0
2019-03-19,'002202,金风科技,14.68,14.96,14.56,14.86,14.99,-0.31,-2.068,1.4977,43525030,640146083.07,52205064444.0,42662171312.8
2019-03-18,'002202,金风科技,14.99,15.57,14.48,15.37,15.26,-0.27,-1.7693,2.0688,60122868,900670799.18,53307487467.0,43563075475.4
2019-03-15,'002202,金风科技,15.26,15.54,14.77,14.77,14.64,0.62,4.235,1.317,38273393,584839779.03,54267662358.0,44347733939.6
2019-03-14,'002202,金风科技,14.64,15.4,14.5,15.2,15.23,-0.59,-3.8739,0.7691,22351010,331844625.1,52062816312.0,42545925614.4
2019-03-13,'002202,金风科技,15.23,15.91,15.11,15.88,15.6,-0.37,-2.3718,0.8934,25963693,399785562.61,54160976259.0,44260549665.8
2019-03-12,'002202,金风科技,15.6,16.2,15.45,15.82,15.42,0.18,1.1673,1.4602,42436857,673229512.11,55476771480.0,45335822376.0
2019-03-11,'002202,金风科技,15.42,15.53,14.08,14.31,14.31,1.11,7.7568,1.4117,41027239,619057735.97,54836654886.0,44812716733.2
2019-03-08,'002202,金风科技,14.31,14.88,14.29,14.6,14.92,-0.61,-4.0885,0.8815,25618263,373310086.77,50889269223.0,41586898602.6
2019-03-07,'002202,金风科技,14.92,15.4,14.71,15.4,15.4,-0.48,-3.1169,1.082,31445498,470340323.55,53058553236.0,43359645503.2
2019-03-06,'002202,金风科技,15.4,15.5,15.1,15.3,15.36,0.04,0.2604,1.0782,31332759,479473561.39,54765530820.0,44754593884.0
2019-03-05,'002202,金风科技,15.36,15.36,14.42,14.5,14.55,0.81,5.567,1.7191,49959278,754482353.49,54623282688.0,44638348185.6
2019-03-04,'002202,金风科技,14.55,15.01,13.95,14.15,14.09,0.46,3.2647,2.067,60070871,868766365.81,51742758015.0,42284372793.0
2019-03-01,'002202,金风科技,14.09,14.21,13.71,13.9,13.82,0.27,1.9537,0.9992,29038547,405684394.28,50106904497.0,40947547261.4
2019-02-28,'002202,金风科技,13.82,13.95,13.54,13.68,13.72,0.1,0.7289,0.8476,24632902,340063231.58,49146729606.0,40162888797.2
2019-02-27,'002202,金风科技,13.72,14.18,13.54,14.18,14.18,-0.46,-3.244,1.3087,38032038,523454655.43,48791109276.0,39872274551.2
2019-02-26,'002202,金风科技,14.18,14.9,14.1,14.9,14.75,-0.57,-3.8644,1.6406,47676867,684335731.09,50426962794.0,41209100082.8
2019-02-25,'002202,金风科技,14.75,14.75,13.62,13.62,13.41,1.34,9.9925,2.4888,72327093,1027882841.03,52453998675.0,42865601285.0
2019-02-22,'002202,金风科技,13.41,13.52,13.09,13.3,13.42,-0.01,-0.0745,1.0568,30711437,408077529.59,47688686253.0,38971370388.6
2019-02-21,'002202,金风科技,13.42,13.85,13.38,13.7,13.73,-0.31,-2.2578,0.9188,26702210,363778624.06,47724248286.0,39000431813.2
2019-02-20,'002202,金风科技,13.73,13.73,13.19,13.41,13.4,0.33,2.4627,0.9896,28759485,387461166.52,48826671309.0,39901335975.8
2019-02-19,'002202,金风科技,13.4,14.16,13.25,14.08,14.0,-0.6,-4.2857,1.5119,43936773,600002370.29,47653124220.0,38942308964.0
2019-02-18,'002202,金风科技,14.0,14.05,13.38,13.38,13.33,0.67,5.0263,1.2089,35131215,484419501.94,49786846200.0,40685994440.0
2019-02-15,'002202,金风科技,13.33,13.62,13.15,13.5,13.49,-0.16,-1.1861,0.8266,24023533,320551664.1,47404189989.0,38738878991.8
2019-02-14,'002202,金风科技,13.49,13.86,13.3,13.4,13.62,-0.13,-0.9545,1.0856,31550402,426557154.0,47973182517.0,39203861785.4
2019-02-13,'002202,金风科技,13.62,13.69,13.24,13.5,13.6,0.02,0.1471,1.3142,38191261,512023015.11,48435488946.0,39581660305.2
2019-02-12,'002202,金风科技,13.6,13.73,13.37,13.65,13.84,-0.24,-1.7341,0.9578,27835324,376374328.63,48364364880.0,39523537456.0
2019-02-11,'002202,金风科技,13.84,13.93,13.51,13.66,13.66,0.18,1.3177,1.0325,30005106,411566810.0,49217853672.0,40221011646.4
2019-02-01,'002202,金风科技,13.66,13.85,12.96,12.96,12.85,0.81,6.3035,1.3201,38362767,519138054.96,48577737078.0,39697906003.6
