日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600232,金鹰股份,6.69,6.89,6.6,6.77,6.74,-0.05,-0.7418,1.5612,5694100,38399924.0,2439967059.36,2439967059.36
2019-04-25,'600232,金鹰股份,6.74,7.11,6.7,7.06,7.03,-0.29,-4.1252,2.0144,7346836,50860440.0,2458202986.56,2458202986.56
2019-04-24,'600232,金鹰股份,7.03,7.14,6.92,7.1,7.09,-0.06,-0.8463,1.6389,5977302,41770512.0,2563971364.32,2563971364.32
2019-04-23,'600232,金鹰股份,7.09,7.16,7.02,7.06,7.06,0.03,0.4249,1.7532,6394172,45316725.0,2585854476.96,2585854476.96
2019-04-22,'600232,金鹰股份,7.06,7.28,7.04,7.27,7.29,-0.23,-3.155,1.9832,7233062,51707995.0,2574912920.64,2574912920.64
2019-04-19,'600232,金鹰股份,7.29,7.35,7.15,7.23,7.22,0.07,0.9695,1.7842,6507305,47156661.0,2658798185.76,2658798185.76
2019-04-18,'600232,金鹰股份,7.22,7.38,7.21,7.36,7.4,-0.18,-2.4324,2.0017,7300402,53166278.0,2633267887.68,2633267887.68
2019-04-17,'600232,金鹰股份,7.4,7.42,7.28,7.32,7.31,0.09,1.2312,2.7407,9995902,73607735.0,2698917225.6,2698917225.6
2019-04-16,'600232,金鹰股份,7.31,7.31,7.05,7.15,7.22,0.09,1.2465,2.3504,8572466,61524895.0,2666092556.64,2666092556.64
2019-04-15,'600232,金鹰股份,7.22,7.47,7.2,7.25,7.21,0.01,0.1387,2.5131,9165821,67343226.0,2633267887.68,2633267887.68
2019-04-12,'600232,金鹰股份,7.21,7.35,7.11,7.35,7.38,-0.17,-2.3035,3.2919,12006097,86536746.0,2629620702.24,2629620702.24
2019-04-11,'600232,金鹰股份,7.38,7.7,7.37,7.55,7.65,-0.27,-3.5294,2.7003,9848602,74538132.0,2691622854.72,2691622854.72
2019-04-10,'600232,金鹰股份,7.65,7.78,7.49,7.62,7.71,-0.06,-0.7782,3.3333,12157260,92787915.0,2790096861.6,2790096861.6
2019-04-09,'600232,金鹰股份,7.71,7.79,7.61,7.73,7.89,-0.18,-2.2814,3.5037,12778604,98286372.0,2811979974.24,2811979974.24
2019-04-08,'600232,金鹰股份,7.89,8.05,7.54,7.8,7.8,0.09,1.1538,6.6577,24281961,188049787.0,2877629312.16,2877629312.16
2019-04-04,'600232,金鹰股份,7.8,7.89,7.64,7.76,7.68,0.12,1.5625,5.9588,21732679,169033955.0,2844804643.2,2844804643.2
