日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300085,银之杰,16.68,17.57,16.5,17.08,17.27,-0.59,-3.4163,2.6871,18988446,323477373.22,11786764123.8,11786764123.8
2019-04-25,'300085,银之杰,17.27,18.52,17.25,18.06,18.35,-1.08,-5.8856,2.3858,16858918,300903406.78,12203682039.5,12203682039.5
2019-04-24,'300085,银之杰,18.35,18.45,17.52,17.6,17.91,0.44,2.4567,2.3572,16657161,301774278.77,12966853817.2,12966853817.2
2019-04-23,'300085,银之杰,17.91,18.77,17.22,17.67,17.72,0.19,1.0722,3.1005,21909282,392710922.48,12655931981.9,12655931981.9
2019-04-22,'300085,银之杰,17.72,18.4,17.45,18.39,18.25,-0.53,-2.9041,2.3571,16655902,298211968.47,12521670280.2,12521670280.2
2019-04-19,'300085,银之杰,18.25,18.8,18.1,18.15,18.1,0.15,0.8287,2.566,18132143,333179166.64,12896189763.8,12896189763.8
2019-04-18,'300085,银之杰,18.1,18.67,18.0,18.3,18.65,-0.55,-2.9491,2.7341,19320003,353056650.73,12790193683.5,12790193683.5
2019-04-17,'300085,银之杰,18.65,19.49,18.48,19.01,18.85,-0.2,-1.061,3.1122,21991900,415255497.87,13178845977.8,13178845977.8
2019-04-16,'300085,银之杰,18.85,18.88,17.3,17.74,18.15,0.7,3.8567,3.2441,22924186,416775893.61,13320174084.8,13320174084.8
2019-04-15,'300085,银之杰,18.15,19.57,18.15,18.91,18.55,-0.4,-2.1563,3.5204,24876707,472786036.23,12825525710.2,12825525710.2
2019-04-12,'300085,银之杰,18.55,19.1,18.2,18.21,18.51,0.04,0.2161,2.9708,20992888,392842073.33,13108181924.2,13108181924.2
2019-04-11,'300085,银之杰,18.51,19.22,18.18,18.8,19.06,-0.55,-2.8856,3.8376,27117733,507537150.9,13079916302.9,13079916302.9
2019-04-10,'300085,银之杰,19.06,19.79,18.8,19.01,20.18,-1.12,-5.55,4.9545,35010333,670282652.67,13468568597.1,13468568597.1
2019-04-09,'300085,银之杰,20.18,20.66,18.81,19.33,20.01,0.17,0.8496,6.165,43564211,865500811.3,14260005996.3,14260005996.3
2019-04-08,'300085,银之杰,20.01,20.19,18.48,18.48,18.35,1.66,9.0463,7.7475,54746755,1061525187.01,14139877105.4,14139877105.4
2019-04-04,'300085,银之杰,18.35,19.31,18.1,19.15,19.14,-0.79,-4.1275,5.6159,39684209,736811914.07,12966853817.2,12966853817.2
2019-04-03,'300085,银之杰,19.14,20.1,18.47,18.47,18.86,0.28,1.4846,6.9657,49222378,945726795.96,13525099839.9,13525099839.9
2019-04-02,'300085,银之杰,18.86,21.33,18.31,20.4,19.44,-0.58,-2.9835,10.9444,77337660,1570700140.55,13327240490.1,13327240490.1
2019-04-01,'300085,银之杰,19.44,19.44,18.39,18.6,17.67,1.77,10.017,7.1688,50657408,961217782.41,13737092000.4,13737092000.4
2019-03-29,'300085,银之杰,17.67,17.67,16.08,16.35,16.06,1.61,10.0249,5.9956,42367684,726169746.89,12486338253.5,12486338253.5
2019-03-28,'300085,银之杰,16.06,16.87,15.88,16.3,16.5,-0.44,-2.6667,2.7584,19492041,319908578.67,11348646992.1,11348646992.1
2019-03-27,'300085,银之杰,16.5,17.38,16.0,17.25,17.1,-0.6,-3.5088,3.4746,24553131,405776706.39,11659568827.5,11659568827.5
2019-03-26,'300085,银之杰,17.1,18.29,16.95,17.99,17.96,-0.86,-4.7884,4.4284,31293110,547629840.06,12083553148.5,12083553148.5
2019-03-25,'300085,银之杰,17.96,18.8,17.23,17.47,18.05,-0.09,-0.4986,4.0823,28846953,524053806.24,12691264008.6,12691264008.6
2019-03-22,'300085,银之杰,18.05,18.7,17.58,18.59,19.1,-1.05,-5.4974,5.9251,41869461,758906833.04,12754861656.8,12754861656.8
