日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300231,银信科技,8.08,8.3,7.89,7.92,7.95,0.13,1.6352,2.3647,10454422,84759011.47,3572169777.6,3572169777.6
2019-04-25,'300231,银信科技,7.95,8.34,7.92,8.3,8.37,-0.42,-5.0179,2.1269,9403124,76310226.4,3514696749.0,3514696749.0
2019-04-24,'300231,银信科技,8.37,8.4,8.06,8.21,8.19,0.18,2.1978,2.022,8939092,73619141.61,3700378841.4,3700378841.4
2019-04-23,'300231,银信科技,8.19,8.47,8.15,8.45,8.46,-0.27,-3.1915,1.9552,8643989,71690144.41,3620800801.8,3620800801.8
2019-04-22,'300231,银信科技,8.46,8.78,8.36,8.78,8.79,-0.33,-3.7543,2.7934,12349456,106153142.28,3740167861.2,3740167861.2
2019-04-19,'300231,银信科技,8.79,8.87,8.44,8.52,8.51,0.28,3.2902,3.5797,15825942,137240979.27,3886060933.8,3886060933.8
2019-04-18,'300231,银信科技,8.51,8.65,8.42,8.6,8.61,-0.1,-1.1614,1.8061,7984780,68223254.4,3762272872.2,3762272872.2
2019-04-17,'300231,银信科技,8.61,8.71,8.55,8.65,8.59,0.02,0.2328,2.074,9168978,79014894.96,3806482894.2,3806482894.2
2019-04-16,'300231,银信科技,8.59,8.63,8.1,8.25,8.31,0.28,3.3694,2.3221,10266131,86008248.22,3797640889.8,3797640889.8
2019-04-15,'300231,银信科技,8.31,8.65,8.28,8.5,8.37,-0.06,-0.7168,2.1223,9382475,79831916.99,3673852828.2,3673852828.2
2019-04-12,'300231,银信科技,8.37,8.47,8.25,8.4,8.43,-0.06,-0.7117,1.7818,7877210,65768947.01,3700378841.4,3700378841.4
2019-04-11,'300231,银信科技,8.43,8.69,8.4,8.63,8.59,-0.16,-1.8626,1.9029,8412913,71866072.94,3726904854.6,3726904854.6
2019-04-10,'300231,银信科技,8.59,8.69,8.44,8.62,8.77,-0.18,-2.0525,2.3882,10558418,90463305.62,3797640889.8,3797640889.8
2019-04-09,'300231,银信科技,8.77,8.83,8.49,8.57,8.6,0.17,1.9767,2.6937,11908826,103513287.9,3877218929.4,3877218929.4
2019-04-08,'300231,银信科技,8.6,8.94,8.44,8.89,8.89,-0.29,-3.2621,3.4756,15365424,132956727.08,3802061892.0,3802061892.0
2019-04-04,'300231,银信科技,8.89,9.09,8.63,8.81,8.82,0.07,0.7937,4.1944,18543291,163866567.59,3930270955.8,3930270955.8
2019-04-03,'300231,银信科技,8.82,8.88,8.62,8.63,8.67,0.15,1.7301,3.6056,15940519,140107052.25,3899323940.4,3899323940.4
2019-04-02,'300231,银信科技,8.67,8.92,8.56,8.6,8.6,0.07,0.814,3.9274,17363133,151720685.29,3833008907.4,3833008907.4
2019-04-01,'300231,银信科技,8.6,8.6,8.23,8.26,8.23,0.37,4.4957,3.4184,15112927,128026638.78,3802061892.0,3802061892.0
2019-03-29,'300231,银信科技,8.23,8.25,7.82,8.0,7.98,0.25,3.1328,2.7634,12217113,98873265.3,3638484810.6,3638484810.6
2019-03-28,'300231,银信科技,7.98,8.19,7.96,8.0,8.06,-0.08,-0.9926,1.8513,8184470,66036552.4,3527959755.6,3527959755.6
2019-03-27,'300231,银信科技,8.06,8.44,7.91,8.4,8.46,-0.4,-4.7281,4.289,18961857,153381424.39,3563327773.2,3563327773.2
2019-03-26,'300231,银信科技,8.46,8.53,8.31,8.43,8.4,0.06,0.7143,3.24,14324071,120820316.61,3740167861.2,3740167861.2
2019-03-25,'300231,银信科技,8.4,8.58,8.33,8.42,8.58,-0.18,-2.0979,2.2001,9726867,82325040.29,3713641848.0,3713641848.0
2019-03-22,'300231,银信科技,8.58,8.65,8.33,8.6,8.59,-0.01,-0.1164,2.3963,10594164,89637910.45,3793219887.6,3793219887.6
2019-03-21,'300231,银信科技,8.59,8.74,8.43,8.45,8.49,0.1,1.1779,2.9844,13194069,113451269.22,3797640889.8,3797640889.8
2019-03-20,'300231,银信科技,8.49,8.64,8.28,8.6,8.59,-0.1,-1.1641,2.0591,9103377,76924378.51,3753430867.8,3753430867.8
2019-03-19,'300231,银信科技,8.59,8.78,8.49,8.57,8.5,0.09,1.0588,2.5409,11233239,96889016.0,3797640889.8,3797640889.8
2019-03-18,'300231,银信科技,8.5,8.53,8.26,8.32,8.34,0.16,1.9185,2.1601,9549965,80146759.65,3757851870.0,3757851870.0
2019-03-15,'300231,银信科技,8.34,8.44,8.17,8.36,8.31,0.03,0.361,2.3179,10247327,85573743.9,3687115834.8,3687115834.8
2019-03-14,'300231,银信科技,8.31,8.69,8.1,8.68,8.68,-0.37,-4.2627,3.7859,16737435,139100850.02,3673852828.2,3673852828.2
2019-03-13,'300231,银信科技,8.68,9.17,8.53,9.13,9.17,-0.49,-5.3435,5.1763,22884524,202119675.7,3837429909.6,3837429909.6
2019-03-12,'300231,银信科技,9.17,9.31,8.9,9.13,9.06,0.11,1.2141,5.6362,24917591,227195281.64,4054059017.4,4054059017.4
2019-03-11,'300231,银信科技,9.06,9.06,8.66,8.73,8.61,0.45,5.2265,4.7371,20942828,186175347.41,4005427993.2,4005427993.2
2019-03-08,'300231,银信科技,8.61,9.28,8.51,8.68,9.01,-0.4,-4.4395,7.8363,34644300,307047894.35,3806482894.2,3806482894.2
2019-03-07,'300231,银信科技,9.01,9.35,8.36,8.4,8.5,0.51,6.0,9.7593,43146041,382220972.7,3983322982.2,3983322982.2
2019-03-06,'300231,银信科技,8.5,8.54,8.14,8.44,8.35,0.15,1.7964,6.2972,27839972,232514525.57,3757851870.0,3757851870.0
2019-03-05,'300231,银信科技,8.35,8.35,7.89,7.95,7.96,0.39,4.8995,5.4617,24146234,196992422.06,3691536837.0,3691536837.0
2019-03-04,'300231,银信科技,7.96,8.27,7.94,8.02,7.95,0.01,0.1258,5.4209,23965679,193752896.11,3519117751.2,3519117751.2
2019-03-01,'300231,银信科技,7.95,8.03,7.8,7.94,7.93,0.02,0.2522,2.7227,12037001,95218425.26,3514696749.0,3514696749.0
2019-02-28,'300231,银信科技,7.93,8.08,7.81,7.98,8.01,-0.08,-0.9988,2.5086,11090709,88065527.34,3505854744.6,3505854744.6
2019-02-27,'300231,银信科技,8.01,8.21,7.91,8.14,8.23,-0.22,-2.6731,4.3331,19156715,154915108.01,3541222762.2,3541222762.2
2019-02-26,'300231,银信科技,8.23,8.65,8.11,8.52,8.34,-0.11,-1.3189,7.4908,33116917,277473389.21,3638484810.6,3638484810.6
2019-02-25,'300231,银信科技,8.34,8.34,7.66,7.82,7.58,0.76,10.0264,7.482,33077910,268088612.76,3687115834.8,3687115834.8
2019-02-22,'300231,银信科技,7.58,7.66,7.23,7.24,7.26,0.32,4.4077,3.7627,16634713,124184256.71,3351119667.6,3351119667.6
