日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000975,银泰资源,10.12,10.25,9.94,9.99,9.92,0.2,2.0161,0.8045,11619734,117987374.05,20071735235.6,14615936479.8
2019-04-25,'000975,银泰资源,9.92,10.33,9.9,10.23,10.21,-0.29,-2.8404,0.7957,11492028,116152159.12,19675060626.2,14327083980.2
2019-04-24,'000975,银泰资源,10.21,10.26,10.05,10.14,10.14,0.07,0.6903,0.6335,9149473,93158317.28,20250238809.9,14745920104.6
2019-04-23,'000975,银泰资源,10.14,10.31,10.04,10.28,10.28,-0.14,-1.3619,0.8688,12548173,127359471.58,20111402696.6,14644821729.7
2019-04-22,'000975,银泰资源,10.28,10.43,10.25,10.28,10.3,-0.02,-0.1942,0.8197,11838672,122404486.57,20389074923.2,14847018479.4
2019-04-19,'000975,银泰资源,10.3,10.31,10.18,10.2,10.27,0.03,0.2921,0.6147,8877844,91095990.68,20428742384.1,14875903729.4
2019-04-18,'000975,银泰资源,10.27,10.35,10.17,10.28,10.33,-0.06,-0.5808,0.7967,11506650,118015752.88,20369241192.7,14832575854.5
2019-04-17,'000975,银泰资源,10.33,10.39,10.15,10.23,10.22,0.11,1.0763,1.3711,19801900,203928469.57,20488243575.5,14919231604.3
2019-04-16,'000975,银泰资源,10.22,10.26,9.97,10.09,10.12,0.1,0.9881,0.9631,13909305,141297654.96,20270072540.3,14760362729.6
2019-04-15,'000975,银泰资源,10.12,10.51,10.09,10.23,10.18,-0.06,-0.5894,1.4935,21569867,221251738.42,20071735235.6,14615936479.8
2019-04-12,'000975,银泰资源,10.18,10.65,10.12,10.65,10.66,-0.48,-4.5028,1.5589,22515113,231656071.27,20190737618.5,14702592229.6
2019-04-11,'000975,银泰资源,10.66,11.15,10.6,11.13,11.12,-0.46,-4.1367,1.2434,17958418,194183355.43,21142756681.0,15395838228.7
2019-04-10,'000975,银泰资源,11.12,11.2,10.94,11.07,11.0,0.12,1.0909,1.1753,16974832,187803015.19,22055108282.6,16060198977.8
2019-04-09,'000975,银泰资源,11.0,11.22,10.94,11.19,11.11,-0.11,-0.9901,1.0225,14767692,163244933.35,21817103517.0,15886887478.0
2019-04-08,'000975,银泰资源,11.11,11.33,11.03,11.19,11.13,-0.02,-0.1797,1.4223,20542323,229895215.47,22035274552.2,16045756352.8
2019-04-04,'000975,银泰资源,11.13,11.24,10.97,11.17,11.17,-0.04,-0.3581,1.1505,16616398,184345059.73,22074942013.1,16074641602.7
2019-04-03,'000975,银泰资源,11.17,11.36,11.09,11.34,11.34,-0.17,-1.4991,0.9785,14132549,158019538.52,22154276935.0,16132412102.7
2019-04-02,'000975,银泰资源,11.34,11.45,11.19,11.36,11.37,-0.03,-0.2639,1.1808,17053592,192726149.16,22491450353.0,16377936727.3
2019-04-01,'000975,银泰资源,11.37,11.4,10.76,10.79,10.89,0.48,4.4077,1.7653,25495838,286134888.03,22550951544.4,16421264602.3
2019-03-29,'000975,银泰资源,10.89,11.04,10.42,10.6,10.9,-0.01,-0.0917,1.4957,21601736,230869571.32,21598932481.8,15728018603.2
2019-03-28,'000975,银泰资源,10.9,11.25,10.89,11.1,11.18,-0.28,-2.5045,0.9635,13915777,154272301.01,21618766212.3,15742461228.2
2019-03-27,'000975,银泰资源,11.18,11.23,10.87,10.92,10.99,0.19,1.7288,1.1655,16833374,186131159.85,22174110665.5,16146854727.6
2019-03-26,'000975,银泰资源,10.99,11.3,10.94,11.2,11.13,-0.14,-1.2579,1.1453,16541133,183961076.07,21797269786.5,15872444853.0
2019-03-25,'000975,银泰资源,11.13,11.41,11.09,11.32,11.23,-0.1,-0.8905,1.3437,19407222,217557431.01,22074942013.1,16074641602.7
2019-03-22,'000975,银泰资源,11.23,11.38,10.91,10.95,11.02,0.21,1.9056,1.8513,26737850,298823679.49,22273279317.8,16219067852.5
2019-03-21,'000975,银泰资源,11.02,11.14,10.78,10.95,10.62,0.4,3.7665,2.1488,31033683,341846558.68,21856770977.9,15915772728.0
2019-03-20,'000975,银泰资源,10.62,10.69,10.41,10.68,10.67,-0.05,-0.4686,0.7017,10134011,106959132.68,21063421759.1,15338067728.8
2019-03-19,'000975,银泰资源,10.67,10.87,10.58,10.64,10.65,0.02,0.1878,0.7303,10547052,113039251.53,21162590411.5,15410280853.7
2019-03-18,'000975,银泰资源,10.65,10.66,10.41,10.49,10.4,0.25,2.4038,0.8646,12487148,131706445.16,21122922950.5,15381395603.7
2019-03-15,'000975,银泰资源,10.4,10.42,10.13,10.36,10.47,-0.07,-0.6686,1.0051,14516901,149630740.97,20627079688.8,15020329979.2
2019-03-14,'000975,银泰资源,10.47,10.84,10.42,10.71,10.72,-0.25,-2.3321,0.894,12911825,137241600.72,20765915802.1,15121428354.1
2019-03-13,'000975,银泰资源,10.72,11.09,10.61,10.9,10.85,-0.13,-1.1982,1.3775,19894836,216915491.06,21261759063.8,15482493978.6
2019-03-12,'000975,银泰资源,10.85,10.95,10.7,10.83,10.82,0.03,0.2773,1.3,18776008,203412583.8,21519597560.0,15670248103.3
2019-03-11,'000975,银泰资源,10.82,10.88,10.47,10.47,10.46,0.36,3.4417,1.5452,22317363,238254166.91,21460096368.5,15626920228.4
2019-03-08,'000975,银泰资源,10.46,11.04,10.27,11.03,11.0,-0.54,-4.9091,2.051,29622282,313758440.36,20746082071.6,15106985729.1
2019-03-07,'000975,银泰资源,11.0,11.25,10.89,11.12,11.12,-0.12,-1.0791,2.0163,29120225,321784123.2,21817103517.0,15886887478.0
2019-03-06,'000975,银泰资源,11.12,11.14,10.72,10.78,10.79,0.33,3.0584,2.0437,29515947,323243389.49,22055108282.6,16060198977.8
2019-03-05,'000975,银泰资源,10.79,10.97,10.62,10.86,10.98,-0.19,-1.7304,1.6837,24317358,260941638.06,21400595177.1,15583592353.4
2019-03-04,'000975,银泰资源,10.98,11.03,10.48,10.5,10.75,0.23,2.1395,1.8891,27284057,296473167.66,21777436056.1,15858002228.0
2019-03-01,'000975,银泰资源,10.75,10.81,10.49,10.58,10.69,0.06,0.5613,0.992,14327699,153203885.15,21321260255.2,15525821853.5
2019-02-28,'000975,银泰资源,10.69,10.79,10.47,10.6,10.91,-0.22,-2.0165,1.5181,21924765,232592110.17,21202257872.4,15439166103.6
2019-02-27,'000975,银泰资源,10.91,11.05,10.7,10.78,10.79,0.12,1.1121,1.6364,23634586,257914528.27,21638599942.8,15756903853.2
2019-02-26,'000975,银泰资源,10.79,11.32,10.71,11.17,11.32,-0.53,-4.682,2.2154,31996751,354917642.3,21400595177.1,15583592353.4
2019-02-25,'000975,银泰资源,11.32,11.35,10.53,11.01,11.03,0.29,2.6292,2.8666,41401567,456965553.42,22451782892.0,16349051477.4
2019-02-22,'000975,银泰资源,11.03,11.14,10.84,11.0,11.29,-0.26,-2.3029,1.0067,14539902,159360822.13,21876604708.4,15930215352.9
2019-02-21,'000975,银泰资源,11.29,11.47,11.05,11.05,11.19,0.1,0.8937,1.3188,19046432,214283896.05,22392281700.6,16305723602.4
2019-02-20,'000975,银泰资源,11.19,11.74,11.16,11.55,11.21,-0.02,-0.1784,1.9237,27782941,319012608.83,22193944395.9,16161297352.6
2019-02-19,'000975,银泰资源,11.21,11.48,11.09,11.2,11.23,-0.02,-0.1781,1.2171,17577979,198875154.23,22233611856.9,16190182602.6
2019-02-18,'000975,银泰资源,11.23,11.34,11.01,11.01,10.92,0.31,2.8388,1.167,16854377,188311152.14,22273279317.8,16219067852.5
2019-02-15,'000975,银泰资源,10.92,10.99,10.58,10.68,10.6,0.32,3.0189,1.1965,17281182,187873765.26,21658433673.2,15771346478.2
