日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300128,锦富技术,4.87,5.08,4.8,4.85,4.97,-0.1,-2.0121,4.3566,47666262,235176283.15,5328342056.44,5328342056.44
2019-04-25,'300128,锦富技术,4.97,5.44,4.97,5.39,5.52,-0.55,-9.9638,8.4894,92883380,478841818.79,5437753597.64,5437753597.64
2019-04-24,'300128,锦富技术,5.52,5.74,5.18,5.29,5.46,0.06,1.0989,8.6771,94938018,516873367.51,6039517074.24,6039517074.24
2019-04-23,'300128,锦富技术,5.46,5.78,5.46,5.66,6.07,-0.61,-10.0494,10.538,115298092,640701541.55,5973870149.52,5973870149.52
2019-04-22,'300128,锦富技术,6.07,6.38,5.88,6.38,5.8,0.27,4.6552,20.1166,220098363,1366994068.72,6641280550.84,6641280550.84
2019-04-19,'300128,锦富技术,5.8,5.8,5.32,5.38,5.27,0.53,10.0569,6.2835,68748340,383993187.88,6345869389.6,6345869389.6
2019-04-18,'300128,锦富技术,5.27,5.38,4.94,4.96,5.0,0.27,5.4,7.6898,84135244,437048666.97,5765988221.24,5765988221.24
2019-04-17,'300128,锦富技术,5.0,5.05,4.83,4.85,4.9,0.1,2.0408,2.8231,30888383,153936953.78,5470577060.0,5470577060.0
2019-04-16,'300128,锦富技术,4.9,4.91,4.61,4.7,4.9,0.0,0.0,2.7473,30058325,143415626.11,5361165518.8,5361165518.8
2019-04-15,'300128,锦富技术,4.9,5.14,4.9,5.14,4.89,0.01,0.2045,2.4948,27295618,137081431.31,5361165518.8,5361165518.8
2019-04-12,'300128,锦富技术,4.89,5.03,4.86,5.01,5.04,-0.15,-2.9762,2.4512,26819245,132310202.36,5350224364.68,5350224364.68
2019-04-11,'300128,锦富技术,5.04,5.18,4.9,5.0,4.95,0.09,1.8182,3.9499,43216900,217493818.9,5514341676.48,5514341676.48
2019-04-10,'300128,锦富技术,4.95,5.01,4.86,4.96,5.02,-0.07,-1.3944,2.5688,28105804,138826813.09,5415871289.4,5415871289.4
2019-04-09,'300128,锦富技术,5.02,5.07,4.86,4.98,4.99,0.03,0.6012,2.4546,26855855,133895905.38,5492459368.24,5492459368.24
2019-04-08,'300128,锦富技术,4.99,5.25,4.9,5.19,5.19,-0.2,-3.8536,3.6374,39796989,201805816.01,5459635905.88,5459635905.88
2019-04-04,'300128,锦富技术,5.19,5.32,5.15,5.25,5.27,-0.08,-1.518,4.5859,50174605,262027757.25,5678458988.28,5678458988.28
2019-04-03,'300128,锦富技术,5.27,5.4,5.0,5.05,5.07,0.2,3.9448,6.0535,66232569,344825161.19,5765988221.24,5765988221.24
2019-04-02,'300128,锦富技术,5.07,5.21,5.03,5.14,5.06,0.01,0.1976,4.7503,51973975,266222607.52,5547165138.84,5547165138.84
2019-04-01,'300128,锦富技术,5.06,5.12,4.94,4.98,4.91,0.15,3.055,3.7955,41526854,209418511.6,5536223984.72,5536223984.72
2019-03-29,'300128,锦富技术,4.91,4.93,4.65,4.82,4.78,0.13,2.7197,3.0112,32945656,158515758.49,5372106672.92,5372106672.92
