日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600754,锦江股份,25.74,26.29,25.58,26.29,26.37,-0.63,-2.3891,0.7307,4738961,122424225.0,24657283965.6,16692846627.6
2019-04-25,'600754,锦江股份,26.37,27.24,26.2,27.24,27.29,-0.92,-3.3712,0.7875,5106859,135518553.0,25260783922.8,17101412803.8
2019-04-24,'600754,锦江股份,27.29,27.3,26.37,26.95,26.85,0.44,1.6387,0.6783,4399128,118154280.0,26142085447.6,17698049124.6
2019-04-23,'600754,锦江股份,26.85,27.78,26.6,27.74,27.56,-0.71,-2.5762,0.9573,6208460,167683098.0,25720593414.0,17412701319.0
2019-04-22,'600754,锦江股份,27.56,28.45,27.15,28.2,28.2,-0.64,-2.2695,0.8716,5652332,156281960.0,26400728286.4,17873148914.4
2019-04-19,'600754,锦江股份,28.2,28.78,27.96,28.01,28.2,0.0,0.0,0.4543,2946195,83204935.0,27013807608.0,18288200268.0
2019-04-18,'600754,锦江股份,28.2,28.97,28.18,28.81,28.8,-0.6,-2.0833,0.5349,3468904,98586233.0,27013807608.0,18288200268.0
2019-04-17,'600754,锦江股份,28.8,29.6,28.5,29.6,29.49,-0.69,-2.3398,0.7781,5045960,145491832.0,27588569472.0,18677310912.0
2019-04-16,'600754,锦江股份,29.49,29.6,28.76,29.6,29.42,0.07,0.2379,0.643,4169827,121405780.0,28249545615.6,19124788152.6
2019-04-15,'600754,锦江股份,29.42,30.97,29.0,29.96,29.29,0.13,0.4438,1.6094,10437375,313717093.0,28182490064.8,19079391910.8
2019-04-12,'600754,锦江股份,29.29,29.68,28.85,29.28,29.15,0.14,0.4803,0.375,2431859,71109263.0,28057958327.6,18995084604.6
2019-04-11,'600754,锦江股份,29.15,30.76,28.82,30.42,30.53,-1.38,-4.5201,0.9799,6354907,188255102.0,27923847226.0,18904292121.0
2019-04-10,'600754,锦江股份,30.53,31.02,29.33,29.65,29.67,0.86,2.8986,1.0431,6764460,206574977.0,29245799513.2,19799246602.2
2019-04-09,'600754,锦江股份,29.67,29.93,28.74,28.74,28.83,0.84,2.9136,0.8613,5585570,165026705.0,28421974174.8,19241521345.8
2019-04-08,'600754,锦江股份,28.83,29.81,28.55,29.58,29.49,-0.66,-2.238,0.7765,5035738,146968594.0,27617307565.2,18696766444.2
2019-04-04,'600754,锦江股份,29.49,30.58,29.25,30.2,29.84,-0.35,-1.1729,0.7868,5102223,151528567.0,28249545615.6,19124788152.6
2019-04-03,'600754,锦江股份,29.84,30.14,29.17,29.62,29.66,0.18,0.6069,0.7871,5104738,151077549.0,28584823369.6,19351769361.6
2019-04-02,'600754,锦江股份,29.66,31.55,29.51,30.6,30.55,-0.89,-2.9133,0.9637,6250047,188678343.0,28412394810.4,19235036168.4
2019-04-01,'600754,锦江股份,30.55,30.55,27.77,27.77,27.77,2.78,10.0108,1.2676,8220703,246791910.0,29264958242.0,19812216957.0
2019-03-29,'600754,锦江股份,27.77,28.15,26.76,26.84,27.02,0.75,2.7757,0.6434,4172340,115429971.0,26601894938.8,18009337639.8
2019-03-28,'600754,锦江股份,27.02,27.77,26.61,27.18,27.05,-0.03,-0.1109,0.5971,3871990,105268361.0,25883442608.8,17522949334.8
2019-03-27,'600754,锦江股份,27.05,27.5,26.72,27.4,27.02,0.03,0.111,0.4778,3098688,84086666.0,25912180702.0,17542404867.0
2019-03-26,'600754,锦江股份,27.02,27.92,26.76,27.82,27.68,-0.66,-2.3844,0.635,4118037,111910515.0,25883442608.8,17522949334.8
2019-03-25,'600754,锦江股份,27.68,28.49,27.4,28.27,28.67,-0.99,-3.4531,0.8308,5388098,150286891.0,26515680659.2,17950971043.2
2019-03-22,'600754,锦江股份,28.67,28.69,27.2,27.3,27.36,1.31,4.788,1.2818,8313014,235377817.0,27464037734.8,18593003605.8
2019-03-21,'600754,锦江股份,27.36,27.68,26.83,27.2,27.0,0.36,1.3333,0.7274,4717307,128782960.0,26209140998.4,17743445366.4
2019-03-20,'600754,锦江股份,27.0,27.26,26.6,27.0,26.94,0.06,0.2227,0.8022,5202647,140023236.0,25864283880.0,17509978980.0
2019-03-19,'600754,锦江股份,26.94,27.32,26.06,26.07,26.06,0.88,3.3768,1.7121,11103573,295499935.0,25806807693.6,17471067915.6
2019-03-18,'600754,锦江股份,26.06,26.2,25.3,25.91,25.59,0.47,1.8367,1.6387,10627460,274573412.0,24963823626.4,16900372304.4
2019-03-15,'600754,锦江股份,25.59,25.85,24.08,24.08,23.86,1.73,7.2506,2.2231,14417405,364891139.0,24513593499.6,16595568966.6
2019-03-14,'600754,锦江股份,23.86,24.34,23.62,24.05,24.22,-0.36,-1.4864,0.4956,3214125,76863795.0,22856363458.4,15473633276.4
2019-03-13,'600754,锦江股份,24.22,24.96,24.08,24.72,24.54,-0.32,-1.304,0.5557,3603803,88317002.0,23201220576.8,15707099662.8
2019-03-12,'600754,锦江股份,24.54,24.8,24.3,24.35,24.35,0.19,0.7803,0.6193,4015997,98777664.0,23507760237.6,15914625339.6
