日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000661,长春高新,303.2,305.98,296.56,300.38,302.0,1.2,0.3974,0.6523,1109587,335857238.9,51578038748.0,51578038748.0
2019-04-25,'000661,长春高新,302.0,307.98,300.5,302.1,304.0,-2.0,-0.6579,0.627,1066629,324710811.92,51373904030.0,51373904030.0
2019-04-24,'000661,长春高新,304.0,304.9,298.5,301.0,299.85,4.15,1.384,0.7821,1330495,401253893.47,51714128560.0,51714128560.0
2019-04-23,'000661,长春高新,299.85,303.6,298.8,299.68,299.8,0.05,0.0167,0.6115,1040165,312622031.44,51008162660.2,51008162660.2
2019-04-22,'000661,长春高新,299.8,311.2,299.1,311.0,311.25,-11.45,-3.6787,1.1905,2025140,611320577.16,50999657047.0,50999657047.0
2019-04-19,'000661,长春高新,311.25,318.36,305.05,313.01,309.51,1.74,0.5622,1.1161,1898608,592546531.55,52947442481.2,52947442481.2
2019-04-18,'000661,长春高新,309.51,310.0,300.0,302.1,299.79,9.72,3.2423,1.0951,1862861,571867801.01,52651447140.2,52651447140.2
2019-04-17,'000661,长春高新,299.79,304.43,297.38,300.0,303.38,-3.59,-1.1833,0.73,1241811,372812408.68,50997955924.3,50997955924.3
2019-04-16,'000661,长春高新,303.38,303.43,295.06,299.64,299.71,3.67,1.2245,1.1067,1882705,561553175.04,51608658955.7,51608658955.7
2019-04-15,'000661,长春高新,299.71,309.02,297.77,300.8,297.51,2.2,0.7395,1.2263,2086111,632179397.58,50984346943.2,50984346943.2
2019-04-12,'000661,长春高新,297.51,304.87,295.0,301.32,302.95,-5.44,-1.7957,0.9639,1639699,488974899.65,50610099960.2,50610099960.2
2019-04-11,'000661,长春高新,302.95,315.0,301.51,315.0,313.49,-10.54,-3.3621,1.0063,1711919,523467902.82,51535510681.8,51535510681.8
2019-04-10,'000661,长春高新,313.49,316.27,303.8,307.14,306.0,7.49,2.4477,1.3424,2283592,712334751.87,53328493954.8,53328493954.8
2019-04-09,'000661,长春高新,306.0,308.88,303.5,308.6,307.88,-1.88,-0.6106,0.8462,1439519,439940527.12,52054353090.0,52054353090.0
2019-04-08,'000661,长春高新,307.88,311.89,304.11,308.49,308.49,-0.61,-0.1977,1.2094,2057379,631523855.85,52374164148.2,52374164148.2
2019-04-04,'000661,长春高新,308.49,311.0,304.5,308.99,309.29,-0.8,-0.2587,0.9483,1613242,496368079.13,52477932629.8,52477932629.8
2019-04-03,'000661,长春高新,309.29,314.0,305.0,311.0,311.12,-1.83,-0.5882,1.1627,1977874,609223732.28,52614022441.8,52614022441.8
2019-04-02,'000661,长春高新,311.12,324.0,309.02,324.0,323.09,-11.97,-3.7049,1.5577,2649914,829061482.89,52925327886.8,52925327886.8
2019-04-01,'000661,长春高新,323.09,324.9,314.0,314.0,316.99,6.1,1.9244,1.5554,2645921,843631170.15,54961571698.8,54961571698.8
2019-03-29,'000661,长春高新,316.99,319.0,305.08,305.93,306.99,10.0,3.2574,1.5552,2645504,829924620.25,53923886882.3,53923886882.3
2019-03-28,'000661,长春高新,306.99,311.94,302.7,304.0,306.52,0.47,0.1533,1.2793,2176246,666624130.61,52222764232.3,52222764232.3
2019-03-27,'000661,长春高新,306.52,309.8,296.18,300.17,284.9,21.62,7.5886,2.4858,4228580,1280932260.42,52142811467.8,52142811467.8
2019-03-26,'000661,长春高新,284.9,296.7,283.1,291.58,291.3,-6.4,-2.197,0.9315,1584525,458410162.8,48464984298.5,48464984298.5
2019-03-25,'000661,长春高新,291.3,303.33,288.02,289.0,295.3,-4.0,-1.3546,1.1119,1891496,557343150.79,49553702794.5,49553702794.5
2019-03-22,'000661,长春高新,295.3,298.63,286.0,292.1,295.2,0.1,0.0339,0.9059,1540988,452922758.87,50234151854.5,50234151854.5
2019-03-21,'000661,长春高新,295.2,297.26,285.98,288.19,288.75,6.45,2.2338,1.3013,2213723,645654431.39,50217140628.0,50217140628.0
2019-03-20,'000661,长春高新,288.75,293.0,283.03,292.0,293.99,-5.24,-1.7824,1.217,2070238,596350496.15,49119916518.8,49119916518.8
2019-03-19,'000661,长春高新,293.99,299.99,291.4,297.95,302.0,-8.01,-2.6523,1.42,2415615,712471223.3,50011304787.3,50011304787.3
2019-03-18,'000661,长春高新,302.0,302.8,288.5,288.57,288.99,13.01,4.5019,2.5543,4345223,1294592569.13,51373904030.0,51373904030.0
2019-03-15,'000661,长春高新,288.99,292.9,275.0,279.97,280.0,8.99,3.2107,1.7562,2987444,849771014.52,49160743462.3,49160743462.3
2019-03-14,'000661,长春高新,280.0,284.49,271.99,274.0,271.92,8.08,2.9715,2.1122,3593079,998710607.99,47631434200.0,47631434200.0
2019-03-13,'000661,长春高新,271.92,278.6,265.51,278.5,278.99,-7.07,-2.5341,2.261,3846265,1044449542.65,46256927098.8,46256927098.8
2019-03-12,'000661,长春高新,278.99,288.0,275.4,282.01,285.46,-6.47,-2.2665,2.5825,4393092,1237989680.53,47459620812.3,47459620812.3
2019-03-11,'000661,长春高新,285.46,290.0,260.0,288.22,273.53,11.93,4.3615,6.9702,11857148,3317862443.04,48560247166.9,48560247166.9
2019-03-08,'000661,长春高新,273.53,273.53,273.53,273.53,248.66,24.87,10.0016,0.214,363973,99557534.69,46530807845.4,46530807845.4
2019-03-07,'000661,长春高新,248.66,248.66,248.66,248.66,226.05,22.61,10.0022,0.2377,404378,100552633.48,42300115814.9,42300115814.9
2019-03-06,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-03-05,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-03-04,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-03-01,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-02-28,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-02-27,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-02-26,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-02-25,'000661,长春高新,0.0,0.0,0.0,0.0,226.05,None,None,0.0,0,0.0,38453877503.2,38453877503.2
2019-02-22,'000661,长春高新,226.05,226.05,205.3,205.41,205.5,20.55,10.0,2.2531,3832848,836435686.54,38453877503.2,38453877503.2
2019-02-21,'000661,长春高新,205.5,211.87,205.5,208.5,208.74,-3.24,-1.5522,1.1095,1887391,393369520.41,34958070457.5,34958070457.5
2019-02-20,'000661,长春高新,208.74,213.0,206.01,210.4,209.7,-0.96,-0.4578,1.0573,1798669,375098124.34,35509234196.1,35509234196.1
2019-02-19,'000661,长春高新,209.7,218.66,209.11,216.4,216.49,-6.79,-3.1364,1.1684,1987615,423434024.32,35672541970.5,35672541970.5
2019-02-18,'000661,长春高新,216.49,218.0,208.5,208.5,206.84,9.65,4.6654,1.0305,1753041,375814094.84,36827604249.8,36827604249.8
2019-02-15,'000661,长春高新,206.84,212.99,206.04,211.29,210.14,-3.3,-1.5704,0.8994,1529991,319367978.85,35186020892.6,35186020892.6
2019-02-14,'000661,长春高新,210.14,213.0,208.52,210.1,212.0,-1.86,-0.8774,0.7929,1348813,283474994.01,35747391367.1,35747391367.1
