日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600584,长电科技,13.7,14.36,13.51,13.63,13.88,-0.18,-1.2968,3.3377,34576164,486027676.0,21959381403.5,14192032910.7
2019-04-25,'600584,长电科技,13.88,14.56,13.8,14.39,14.68,-0.8,-5.4496,3.773,39085049,554741680.0,22247898823.4,14378497576.7
2019-04-24,'600584,长电科技,14.68,15.22,13.39,13.73,13.84,0.84,6.0694,6.4616,66936495,967018699.0,23530198467.4,15207229425.5
2019-04-23,'600584,长电科技,13.84,14.59,13.7,14.49,14.64,-0.8,-5.4645,3.798,39343929,552093499.0,22183783841.2,14337060984.2
2019-04-22,'600584,长电科技,14.64,14.86,14.25,14.28,14.37,0.27,1.8789,4.3048,44594350,651832674.0,23466083485.2,15165792833.0
2019-04-19,'600584,长电科技,14.37,14.59,14.22,14.44,14.58,-0.21,-1.4403,2.5153,26056814,374816181.0,23033307355.3,14886095834.1
2019-04-18,'600584,长电科技,14.58,14.89,14.03,14.32,14.32,0.26,1.8156,4.8596,50340948,728693860.0,23369911011.9,15103637944.4
2019-04-17,'600584,长电科技,14.32,14.99,14.3,14.36,13.94,0.38,2.726,6.2332,64570265,943626219.0,22953163627.6,14834300093.5
2019-04-16,'600584,长电科技,13.94,13.97,13.07,13.25,13.57,0.37,2.7266,3.2517,33685142,454922855.0,22344071296.7,14440652465.3
2019-04-15,'600584,长电科技,13.57,14.18,13.53,13.81,13.53,0.04,0.2956,2.5844,26772081,372250125.0,21751007711.3,14057363985.3
2019-04-12,'600584,长电科技,13.53,13.71,13.42,13.58,13.56,-0.03,-0.2212,1.4518,15039389,203858660.0,21686892729.2,14015927392.8
2019-04-11,'600584,长电科技,13.56,14.08,13.52,14.0,14.0,-0.44,-3.1429,2.5303,26211362,359216853.0,21734978965.8,14047004837.2
2019-04-10,'600584,长电科技,14.0,14.17,13.81,14.0,14.12,-0.12,-0.8499,2.2894,23716077,331943117.0,22440243770.0,14502807354.0
2019-04-09,'600584,长电科技,14.12,14.44,13.89,14.01,14.11,0.01,0.0709,2.5985,26918285,380608912.0,22632588716.6,14627117131.3
2019-04-08,'600584,长电科技,14.11,14.9,13.98,14.87,14.82,-0.71,-4.7908,5.2194,54068037,775772693.0,22616559971.0,14616757983.2
2019-04-04,'600584,长电科技,14.82,15.2,14.7,15.0,14.74,0.08,0.5427,4.2571,44100062,657606031.0,23754600905.1,15352257499.0
2019-04-03,'600584,长电科技,14.74,15.07,14.59,14.73,14.72,0.02,0.1359,3.21,33253332,492305214.0,23626370940.7,15269384314.1
2019-04-02,'600584,长电科技,14.72,15.2,14.64,14.88,14.67,0.05,0.3408,5.3957,55894363,833538767.0,23594313449.6,15248666017.9
2019-04-01,'600584,长电科技,14.67,14.84,14.31,14.31,14.11,0.56,3.9688,4.3895,45471516,664978336.0,23514169721.8,15196870277.4
2019-03-29,'600584,长电科技,14.11,14.22,13.21,13.58,13.68,0.43,3.1433,4.5059,46676832,644892514.0,22616559971.0,14616757983.2
2019-03-28,'600584,长电科技,13.68,14.43,13.54,13.54,13.7,-0.02,-0.146,4.4473,46069764,645595521.0,21927323912.4,14171314614.5
2019-03-27,'600584,长电科技,13.7,14.23,13.0,14.02,14.0,-0.3,-2.1429,5.1695,53551549,732667172.0,21959381403.5,14192032910.7
2019-03-26,'600584,长电科技,14.0,15.18,13.83,15.01,14.97,-0.97,-6.4796,5.1819,53680507,776230870.0,22440243770.0,14502807354.0
2019-03-25,'600584,长电科技,14.97,15.26,14.22,14.4,14.79,0.18,1.217,5.4084,56026018,832064360.0,23995032088.3,15507644720.7
2019-03-22,'600584,长电科技,14.79,15.18,14.47,14.5,14.45,0.34,2.3529,5.8852,60965631,903446339.0,23706514668.5,15321180054.7
2019-03-21,'600584,长电科技,14.45,14.78,14.18,14.19,14.13,0.32,2.2647,5.0751,52574026,762097150.0,23161537319.8,14968969019.0
2019-03-20,'600584,长电科技,14.13,14.56,13.77,14.32,14.3,-0.17,-1.1888,3.0122,31203675,441663942.0,22648617462.2,14637476279.4
2019-03-19,'600584,长电科技,14.3,14.84,14.1,14.18,14.28,0.02,0.1401,3.975,41177347,592818036.0,22921106136.5,14813581797.3
2019-03-18,'600584,长电科技,14.28,14.29,13.66,13.84,13.81,0.47,3.4033,3.5005,36262318,511166391.0,22889048645.4,14792863501.1
