日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603099,长白山,10.65,10.88,10.59,10.79,10.9,-0.25,-2.2936,0.9203,2454089,26261763.0,2840035500.0,2840035500.0
2019-04-25,'603099,长白山,10.9,11.67,10.86,11.56,11.67,-0.77,-6.5981,1.5326,4087007,45943738.0,2906703000.0,2906703000.0
2019-04-24,'603099,长白山,11.67,11.79,11.46,11.51,11.57,0.1,0.8643,0.9173,2446032,28420450.0,3112038900.0,3112038900.0
2019-04-23,'603099,长白山,11.57,12.24,11.45,12.24,12.24,-0.67,-5.4739,1.6264,4337095,51127315.0,3085371900.0,3085371900.0
2019-04-22,'603099,长白山,12.24,12.65,12.15,12.6,12.28,-0.04,-0.3257,1.9737,5263138,64986247.0,3264040800.0,3264040800.0
2019-04-19,'603099,长白山,12.28,12.31,12.01,12.02,12.16,0.12,0.9868,1.306,3482806,42253499.0,3274707600.0,3274707600.0
2019-04-18,'603099,长白山,12.16,12.43,12.0,12.1,12.25,-0.09,-0.7347,2.0629,5501201,66935707.0,3242707200.0,3242707200.0
2019-04-17,'603099,长白山,12.25,12.85,11.57,11.66,11.68,0.57,4.8801,4.2114,11230567,138344795.0,3266707500.0,3266707500.0
2019-04-16,'603099,长白山,11.68,11.69,11.28,11.56,11.62,0.06,0.5164,1.282,3418825,39197512.0,3114705600.0,3114705600.0
2019-04-15,'603099,长白山,11.62,11.91,11.6,11.91,11.77,-0.15,-1.2744,1.2037,3209799,37818193.0,3098705400.0,3098705400.0
2019-04-12,'603099,长白山,11.77,11.81,11.55,11.55,11.62,0.15,1.2909,0.9228,2460864,28759490.0,3138705900.0,3138705900.0
2019-04-11,'603099,长白山,11.62,11.83,11.56,11.83,11.74,-0.12,-1.0221,1.1198,2986069,34833302.0,3098705400.0,3098705400.0
2019-04-10,'603099,长白山,11.74,11.93,11.66,11.84,11.94,-0.2,-1.675,1.6803,4480800,52662243.0,3130705800.0,3130705800.0
2019-04-09,'603099,长白山,11.94,12.18,11.82,12.15,12.23,-0.29,-2.3712,1.6204,4321159,51911711.0,3184039800.0,3184039800.0
2019-04-08,'603099,长白山,12.23,12.24,11.9,12.09,12.06,0.17,1.4096,2.4391,6504406,78346036.0,3261374100.0,3261374100.0
2019-04-04,'603099,长白山,12.06,12.36,12.01,12.29,12.39,-0.33,-2.6634,2.6614,7097101,86154347.0,3216040200.0,3216040200.0
2019-04-03,'603099,长白山,12.39,12.64,12.26,12.42,12.7,-0.31,-2.4409,3.2136,8569580,106315911.0,3304041300.0,3304041300.0
2019-04-02,'603099,长白山,12.7,13.79,12.33,12.7,12.69,0.01,0.0788,6.0454,16121293,208239462.0,3386709000.0,3386709000.0
2019-04-01,'603099,长白山,12.69,12.69,12.02,12.49,11.54,1.15,9.9653,4.6361,12363006,154753166.0,3384042300.0,3384042300.0
2019-03-29,'603099,长白山,11.54,11.69,11.01,11.47,11.77,-0.23,-1.9541,3.2186,8583065,97383477.0,3077371800.0,3077371800.0
2019-03-28,'603099,长白山,11.77,12.62,11.3,11.51,11.97,-0.2,-1.6708,6.0416,16111195,192027207.0,3138705900.0,3138705900.0
2019-03-27,'603099,长白山,11.97,11.97,10.81,10.83,10.88,1.09,10.0184,5.1712,13789993,159663657.0,3192039900.0,3192039900.0
2019-03-26,'603099,长白山,10.88,11.03,10.29,10.61,10.69,0.19,1.7774,2.14,5706796,60940500.0,2901369600.0,2901369600.0
2019-03-25,'603099,长白山,10.69,11.0,10.65,11.0,11.2,-0.51,-4.5536,1.7784,4742559,51064779.0,2850702300.0,2850702300.0
