日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000993,闽东电力,7.48,7.67,7.3,7.48,7.48,0.0,0.0,3.5046,13072206,98586140.18,3425476883.4,2790040000.0
2019-04-25,'000993,闽东电力,7.48,8.24,7.31,8.11,8.08,-0.6,-7.4257,3.9706,14810301,117386219.79,3425476883.4,2790040000.0
2019-04-24,'000993,闽东电力,8.08,8.17,7.81,8.11,8.09,-0.01,-0.1236,3.3332,12432675,99305088.19,3700247756.4,3013840000.0
2019-04-23,'000993,闽东电力,8.09,8.25,8.01,8.05,8.02,0.07,0.8728,3.076,11473574,93110320.76,3704827270.95,3017570000.0
2019-04-22,'000993,闽东电力,8.02,8.38,8.0,8.37,8.4,-0.38,-4.5238,4.4758,16694690,136450109.71,3672770669.1,2991460000.0
2019-04-19,'000993,闽东电力,8.4,8.65,8.35,8.55,8.71,-0.31,-3.5591,5.3383,19911909,168623672.55,3846792222.0,3133200000.0
2019-04-18,'000993,闽东电力,8.71,9.05,8.44,8.7,8.78,-0.07,-0.7973,8.7901,32787036,286004287.33,3988757173.05,3248830000.0
2019-04-17,'000993,闽东电力,8.78,9.09,8.31,8.47,8.48,0.3,3.5377,9.526,35531860,308702836.14,4020813774.9,3274940000.0
2019-04-16,'000993,闽东电力,8.48,8.54,8.23,8.44,8.66,-0.18,-2.0785,7.1325,26604274,223655746.61,3883428338.4,3163040000.0
2019-04-15,'000993,闽东电力,8.66,9.32,8.5,8.83,8.99,-0.33,-3.6707,13.5594,50576666,446990619.73,3965859600.3,3230180000.0
2019-04-12,'000993,闽东电力,8.99,8.99,8.01,8.1,8.17,0.82,10.0367,13.2533,49434880,425381927.36,4116983580.45,3353270000.0
2019-04-11,'000993,闽东电力,8.17,8.25,7.86,8.06,8.06,0.11,1.3648,4.9267,18376726,148478982.05,3741463387.35,3047410000.0
2019-04-10,'000993,闽东电力,8.06,8.28,7.93,8.24,8.24,-0.18,-2.1845,3.7977,14165485,114477987.04,3691088727.3,3006380000.0
2019-04-09,'000993,闽东电力,8.24,8.29,8.0,8.09,8.16,0.08,0.9804,4.0036,14933559,122206697.45,3773519989.2,3073520000.0
2019-04-08,'000993,闽东电力,8.16,8.55,7.78,8.4,8.43,-0.27,-3.2028,6.8459,25535059,208469226.0,3736883872.8,3043680000.0
2019-04-04,'000993,闽东电力,8.43,8.88,8.39,8.79,8.69,-0.26,-2.9919,7.1796,26779852,229817991.87,3860530765.65,3144390000.0
2019-04-03,'000993,闽东电力,8.69,8.79,8.23,8.38,8.57,0.12,1.4002,8.4931,31679317,269139888.02,3979598143.95,3241370000.0
2019-04-02,'000993,闽东电力,8.57,8.79,8.26,8.48,8.42,0.15,1.7815,12.4306,46366085,397306874.17,3924643969.35,3196610000.0
2019-04-01,'000993,闽东电力,8.42,8.48,8.02,8.02,8.1,0.32,3.9506,10.6059,39560048,328236325.7,3855951251.1,3140660000.0
2019-03-29,'000993,闽东电力,8.1,8.17,7.73,8.06,7.96,0.14,1.7588,8.3427,31118149,248644270.55,3709406785.5,3021300000.0
2019-03-28,'000993,闽东电力,7.96,8.64,7.92,8.52,8.75,-0.79,-9.0286,10.0857,37619626,312225481.91,3645293581.8,2969080000.0
2019-03-27,'000993,闽东电力,8.75,8.92,8.38,8.7,8.84,-0.09,-1.0181,10.8445,40450051,349017629.24,4007075231.25,3263750000.0
