ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'600348,ÑôÈªÃºÒµ,6.25,6.39,6.23,6.26,6.3,-0.05,-0.7937,1.1218,26980220,170457817.0,15031250000.0,15031250000.0
2019-04-25,'600348,ÑôÈªÃºÒµ,6.3,6.67,6.26,6.6,6.63,-0.33,-4.9774,1.7216,41404226,267629029.0,15151500000.0,15151500000.0
2019-04-24,'600348,ÑôÈªÃºÒµ,6.63,6.72,6.42,6.5,6.43,0.2,3.1104,1.9453,46783487,308859998.0,15945150000.0,15945150000.0
2019-04-23,'600348,ÑôÈªÃºÒµ,6.43,6.71,6.39,6.54,6.52,-0.09,-1.3804,1.9559,47039809,309460882.0,15464150000.0,15464150000.0
2019-04-22,'600348,ÑôÈªÃºÒµ,6.52,6.77,6.5,6.74,6.7,-0.18,-2.6866,1.76,42327914,280033749.0,15680600000.0,15680600000.0
2019-04-19,'600348,ÑôÈªÃºÒµ,6.7,6.79,6.36,6.46,6.47,0.23,3.5549,2.1984,52870364,347335374.0,16113500000.0,16113500000.0
2019-04-18,'600348,ÑôÈªÃºÒµ,6.47,6.6,6.44,6.56,6.56,-0.09,-1.372,1.2234,29422441,191502853.0,15560350000.0,15560350000.0
2019-04-17,'600348,ÑôÈªÃºÒµ,6.56,6.63,6.48,6.49,6.49,0.07,1.0786,2.0461,49209514,322548032.0,15776800000.0,15776800000.0
2019-04-16,'600348,ÑôÈªÃºÒµ,6.49,6.49,6.25,6.28,6.27,0.22,3.5088,1.6092,38701436,247965410.0,15608450000.0,15608450000.0
2019-04-15,'600348,ÑôÈªÃºÒµ,6.27,6.48,6.26,6.43,6.29,-0.02,-0.318,1.4356,34526984,220602354.0,15079350000.0,15079350000.0
2019-04-12,'600348,ÑôÈªÃºÒµ,6.29,6.31,6.22,6.23,6.23,0.06,0.9631,1.0104,24301078,152441892.0,15127450000.0,15127450000.0
2019-04-11,'600348,ÑôÈªÃºÒµ,6.23,6.44,6.22,6.32,6.34,-0.11,-1.735,1.2686,30510739,192548483.0,14983150000.0,14983150000.0
2019-04-10,'600348,ÑôÈªÃºÒµ,6.34,6.41,6.27,6.34,6.36,-0.02,-0.3145,1.0632,25570129,161843353.0,15247700000.0,15247700000.0
2019-04-09,'600348,ÑôÈªÃºÒµ,6.36,6.54,6.31,6.52,6.57,-0.21,-3.1963,1.7787,42776689,274256880.0,15295800000.0,15295800000.0
2019-04-08,'600348,ÑôÈªÃºÒµ,6.57,6.63,6.36,6.47,6.39,0.18,2.8169,2.7411,65923617,429601245.0,15800850000.0,15800850000.0
2019-04-04,'600348,ÑôÈªÃºÒµ,6.39,6.46,6.3,6.36,6.34,0.05,0.7886,2.0563,49452981,315555731.0,15367950000.0,15367950000.0
2019-04-03,'600348,ÑôÈªÃºÒµ,6.34,6.34,6.19,6.23,6.26,0.08,1.278,1.9915,47896569,301330767.0,15247700000.0,15247700000.0
2019-04-02,'600348,ÑôÈªÃºÒµ,6.26,6.29,6.19,6.27,6.26,0.0,0.0,1.5877,38184564,238110975.0,15055300000.0,15055300000.0
2019-04-01,'600348,ÑôÈªÃºÒµ,6.26,6.3,6.08,6.11,6.09,0.17,2.7915,2.4497,58915869,366714677.0,15055300000.0,15055300000.0
2019-03-29,'600348,ÑôÈªÃºÒµ,6.09,6.11,5.83,5.86,5.87,0.22,3.7479,2.1863,52579751,317091025.0,14646450000.0,14646450000.0
2019-03-28,'600348,ÑôÈªÃºÒµ,5.87,5.96,5.84,5.86,5.9,-0.03,-0.5085,1.3376,32170475,189989762.0,14117350000.0,14117350000.0
2019-03-27,'600348,ÑôÈªÃºÒµ,5.9,5.93,5.73,5.8,5.78,0.12,2.0761,1.0751,25857118,150484125.0,14189500000.0,14189500000.0
2019-03-26,'600348,ÑôÈªÃºÒµ,5.78,5.92,5.74,5.92,5.89,-0.11,-1.8676,1.0233,24610949,143702974.0,13900900000.0,13900900000.0
2019-03-25,'600348,ÑôÈªÃºÒµ,5.89,5.96,5.85,5.89,5.97,-0.08,-1.34,1.2361,29728033,175631251.0,14165450000.0,14165450000.0
2019-03-22,'600348,ÑôÈªÃºÒµ,5.97,6.01,5.91,6.0,6.01,-0.04,-0.6656,1.151,27682569,164810364.0,14357850000.0,14357850000.0
2019-03-21,'600348,ÑôÈªÃºÒµ,6.01,6.03,5.95,5.98,5.99,0.02,0.3339,1.3168,31669295,189969789.0,14454050000.0,14454050000.0
2019-03-20,'600348,ÑôÈªÃºÒµ,5.99,6.07,5.87,6.01,5.99,0.0,0.0,1.576,37902371,226657529.0,14405950000.0,14405950000.0
2019-03-19,'600348,ÑôÈªÃºÒµ,5.99,6.07,5.94,6.06,6.06,-0.07,-1.1551,1.2292,29562393,177384991.0,14405950000.0,14405950000.0
2019-03-18,'600348,ÑôÈªÃºÒµ,6.06,6.09,5.85,5.88,5.87,0.19,3.2368,1.8616,44771913,267388874.0,14574300000.0,14574300000.0
2019-03-15,'600348,ÑôÈªÃºÒµ,5.87,5.92,5.82,5.82,5.83,0.04,0.6861,1.2116,29139348,170921980.0,14117350000.0,14117350000.0
2019-03-14,'600348,ÑôÈªÃºÒµ,5.83,5.96,5.76,5.86,5.86,-0.03,-0.5119,1.2076,29041906,169791313.0,14021150000.0,14021150000.0
2019-03-13,'600348,ÑôÈªÃºÒµ,5.86,5.95,5.83,5.93,5.95,-0.09,-1.5126,1.3615,32743948,192678032.0,14093300000.0,14093300000.0
2019-03-12,'600348,ÑôÈªÃºÒµ,5.95,6.02,5.86,5.96,5.91,0.04,0.6768,1.6572,39855295,237512526.0,14309750000.0,14309750000.0
2019-03-11,'600348,ÑôÈªÃºÒµ,5.91,5.93,5.8,5.81,5.8,0.11,1.8966,1.4745,35462767,207761231.0,14213550000.0,14213550000.0
2019-03-08,'600348,ÑôÈªÃºÒµ,5.8,6.09,5.77,6.08,6.17,-0.37,-5.9968,2.5921,62340838,370090307.0,13949000000.0,13949000000.0
2019-03-07,'600348,ÑôÈªÃºÒµ,6.17,6.32,6.09,6.09,6.13,0.04,0.6525,2.1847,52541879,324734943.0,14838850000.0,14838850000.0
2019-03-06,'600348,ÑôÈªÃºÒµ,6.13,6.16,5.99,6.04,6.02,0.11,1.8272,2.229,53607132,326318076.0,14742650000.0,14742650000.0
2019-03-05,'600348,ÑôÈªÃºÒµ,6.02,6.02,5.93,5.96,5.96,0.06,1.0067,1.4006,33684553,201511952.0,14478100000.0,14478100000.0
2019-03-04,'600348,ÑôÈªÃºÒµ,5.96,6.1,5.93,5.96,5.92,0.04,0.6757,2.4226,58263625,350065726.0,14333800000.0,14333800000.0
2019-03-01,'600348,ÑôÈªÃºÒµ,5.92,5.95,5.82,5.9,5.88,0.04,0.6803,1.8532,44568895,262034828.0,14237600000.0,14237600000.0
2019-02-28,'600348,ÑôÈªÃºÒµ,5.88,5.9,5.81,5.84,5.83,0.05,0.8576,1.316,31649810,185303905.0,14141400000.0,14141400000.0
2019-02-27,'600348,ÑôÈªÃºÒµ,5.83,6.02,5.78,5.86,5.84,-0.01,-0.1712,2.3126,55618260,327268932.0,14021150000.0,14021150000.0
2019-02-26,'600348,ÑôÈªÃºÒµ,5.84,6.1,5.64,5.77,5.76,0.08,1.3889,3.6523,87838706,517075068.0,14045200000.0,14045200000.0
2019-02-25,'600348,ÑôÈªÃºÒµ,5.76,5.78,5.48,5.5,5.44,0.32,5.8824,2.8569,68707682,386342329.0,13852800000.0,13852800000.0
2019-02-22,'600348,ÑôÈªÃºÒµ,5.44,5.46,5.36,5.4,5.4,0.04,0.7407,1.2868,30946763,167428137.0,13083200000.0,13083200000.0
2019-02-21,'600348,ÑôÈªÃºÒµ,5.4,5.51,5.39,5.47,5.45,-0.05,-0.9174,1.6094,38705635,210791173.0,12987000000.0,12987000000.0
2019-02-20,'600348,ÑôÈªÃºÒµ,5.45,5.48,5.38,5.4,5.38,0.07,1.3011,1.1593,27882355,151569758.0,13107250000.0,13107250000.0
2019-02-19,'600348,ÑôÈªÃºÒµ,5.38,5.46,5.35,5.44,5.44,-0.06,-1.1029,1.1991,28838155,156043734.0,12938900000.0,12938900000.0
2019-02-18,'600348,ÑôÈªÃºÒµ,5.44,5.45,5.33,5.33,5.31,0.13,2.4482,1.2381,29777246,160525782.0,13083200000.0,13083200000.0
2019-02-15,'600348,ÑôÈªÃºÒµ,5.31,5.38,5.3,5.36,5.35,-0.04,-0.7477,0.6756,16247958,86813428.0,12770550000.0,12770550000.0
2019-02-14,'600348,ÑôÈªÃºÒµ,5.35,5.42,5.32,5.36,5.37,-0.02,-0.3724,0.8463,20352867,109300515.0,12866750000.0,12866750000.0
2019-02-13,'600348,ÑôÈªÃºÒµ,5.37,5.39,5.28,5.34,5.33,0.04,0.7505,1.4327,34456163,184043836.0,12914850000.0,12914850000.0
