日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300599,雄塑科技,12.18,12.41,12.0,12.2,12.27,-0.09,-0.7335,2.3201,2216116,27175423.88,3702720000.0,1163433600.0
2019-04-25,'300599,雄塑科技,12.27,12.96,12.22,12.96,13.16,-0.89,-6.7629,4.748,4535329,57428150.57,3730080000.0,1172030400.0
2019-04-24,'300599,雄塑科技,13.16,13.2,12.83,12.87,12.86,0.3,2.3328,2.8092,2683388,34993586.4,4000640000.0,1257043200.0
2019-04-23,'300599,雄塑科技,12.86,13.24,12.75,13.12,13.11,-0.25,-1.9069,2.5798,2464268,31919918.65,3909440000.0,1228387200.0
2019-04-22,'300599,雄塑科技,13.11,13.37,13.04,13.27,13.18,-0.07,-0.5311,2.6172,2499915,32970533.44,3985440000.0,1252267200.0
2019-04-19,'300599,雄塑科技,13.18,13.23,12.89,12.94,12.95,0.23,1.7761,2.81,2684098,35101888.59,4006720000.0,1258953600.0
2019-04-18,'300599,雄塑科技,12.95,13.27,12.89,13.27,13.18,-0.23,-1.7451,3.601,3439699,45024105.71,3936800000.0,1236984000.0
2019-04-17,'300599,雄塑科技,13.18,13.5,13.12,13.3,13.32,-0.14,-1.0511,3.9592,3781860,50236503.2,4006720000.0,1258953600.0
2019-04-16,'300599,雄塑科技,13.32,13.33,12.58,12.58,12.68,0.64,5.0473,5.0716,4844351,63427492.53,4049280000.0,1272326400.0
2019-04-15,'300599,雄塑科技,12.68,13.08,12.65,12.89,12.74,-0.06,-0.471,3.0174,2882196,37129106.38,3854720000.0,1211193600.0
2019-04-12,'300599,雄塑科技,12.74,13.18,12.7,13.08,12.96,-0.22,-1.6975,3.8761,3702466,47720790.59,3872960000.0,1216924800.0
2019-04-11,'300599,雄塑科技,12.96,13.36,12.91,13.06,13.14,-0.18,-1.3699,6.3379,6053917,79404042.94,3939840000.0,1237939200.0
