日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300261,雅本化学,5.94,6.05,5.77,5.96,5.9,0.04,0.678,0.6219,5991068,35339830.43,5722058257.74,5722058257.74
2019-04-25,'300261,雅本化学,5.9,6.28,5.87,6.1,6.11,-0.21,-3.437,1.1165,10754963,65538038.75,5683525878.9,5683525878.9
2019-04-24,'300261,雅本化学,6.11,6.13,6.0,6.04,6.0,0.11,1.8333,0.5291,5097225,30976228.75,5885820867.81,5885820867.81
2019-04-23,'300261,雅本化学,6.0,6.21,5.93,6.2,6.18,-0.18,-2.9126,0.8675,8357060,50461471.2,5779856826.0,5779856826.0
2019-04-22,'300261,雅本化学,6.18,6.38,6.15,6.26,6.24,-0.06,-0.9615,0.9575,9223288,57781546.22,5953252530.78,5953252530.78
2019-04-19,'300261,雅本化学,6.24,6.28,6.15,6.26,6.27,-0.03,-0.4785,0.6741,6493910,40397630.9,6011051099.04,6011051099.04
2019-04-18,'300261,雅本化学,6.27,6.41,6.22,6.39,6.37,-0.1,-1.5699,0.7469,7195040,45282949.02,6039950383.17,6039950383.17
2019-04-17,'300261,雅本化学,6.37,6.47,6.3,6.37,6.36,0.01,0.1572,0.9183,8846303,56302552.28,6136281330.27,6136281330.27
2019-04-16,'300261,雅本化学,6.36,6.4,6.2,6.36,6.35,0.01,0.1575,0.9603,9250328,58618582.73,6126648235.56,6126648235.56
2019-04-15,'300261,雅本化学,6.35,6.7,6.32,6.67,6.6,-0.25,-3.7879,1.3627,13127133,85392704.77,6117015140.85,6117015140.85
2019-04-12,'300261,雅本化学,6.6,6.88,6.47,6.73,6.79,-0.19,-2.7982,1.6997,16373139,107987923.19,6357842508.6,6357842508.6
2019-04-11,'300261,雅本化学,6.79,7.08,6.72,6.89,6.99,-0.2,-2.8612,1.5987,15400369,106214189.98,6540871308.09,6540871308.09
2019-04-10,'300261,雅本化学,6.99,7.0,6.33,6.35,6.81,0.18,2.6432,3.0364,29250223,194498305.53,6733533202.29,6733533202.29
2019-04-09,'300261,雅本化学,6.81,6.96,6.5,6.67,6.86,-0.05,-0.7289,2.7272,26271200,177921067.76,6560137497.51,6560137497.51
2019-04-08,'300261,雅本化学,6.86,7.04,6.53,6.95,6.4,0.46,7.1875,4.7696,45946165,312165406.32,6608302971.06,6608302971.06
2019-04-04,'300261,雅本化学,6.4,6.58,6.28,6.28,6.28,0.12,1.9108,2.4828,23917388,154046682.84,6165180614.4,6165180614.4
2019-04-03,'300261,雅本化学,6.28,6.29,6.11,6.29,6.3,-0.02,-0.3175,1.6253,15657094,97144690.26,6049583477.88,6049583477.88
2019-04-02,'300261,雅本化学,6.3,6.34,6.02,6.13,6.11,0.19,3.1097,2.4318,23425329,144661350.16,6068849667.3,6068849667.3
