日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600690,青岛海尔,16.75,17.01,16.54,16.9,17.02,-0.27,-1.5864,0.6354,38744555,651470179.0,1.06670979725e+11,1.02131495677e+11
2019-04-25,'600690,青岛海尔,17.02,17.4,16.95,17.25,17.47,-0.45,-2.5758,0.5821,35494857,609119868.0,1.08390452234e+11,1.03777794414e+11
2019-04-24,'600690,青岛海尔,17.47,17.81,17.25,17.74,17.7,-0.23,-1.2994,0.5042,30742008,538373831.0,1.11256239749e+11,1.06521625641e+11
2019-04-23,'600690,青岛海尔,17.7,17.85,17.43,17.68,17.68,0.02,0.1131,0.6088,37121358,656544279.0,1.1272097559e+11,1.07924028268e+11
2019-04-22,'600690,青岛海尔,17.68,18.32,17.53,18.3,18.36,-0.68,-3.7037,0.7337,44738479,801011492.0,1.12593607256e+11,1.07802080213e+11
2019-04-19,'600690,青岛海尔,18.36,18.5,17.62,17.72,17.87,0.49,2.742,0.804,49021621,885755390.0,1.16924130612e+11,1.11948314068e+11
2019-04-18,'600690,青岛海尔,17.87,18.38,17.78,18.03,17.78,0.09,0.5062,0.7689,46885827,845843574.0,1.13803606429e+11,1.08960586731e+11
2019-04-17,'600690,青岛海尔,17.78,18.05,17.4,17.65,17.63,0.15,0.8508,0.751,45793510,810940098.0,1.13230448926e+11,1.08411820486e+11
2019-04-16,'600690,青岛海尔,17.63,17.63,16.87,17.15,17.15,0.48,2.7988,0.7253,44227337,765081960.0,1.12275186421e+11,1.07497210077e+11
2019-04-15,'600690,青岛海尔,17.15,17.91,17.12,17.45,17.22,-0.07,-0.4065,0.8198,49988051,876263306.0,1.09218346405e+11,1.04570456768e+11
2019-04-12,'600690,青岛海尔,17.22,17.51,17.0,17.5,17.44,-0.22,-1.2615,0.88,53654866,921889860.0,1.09664135574e+11,1.04997274959e+11
2019-04-11,'600690,青岛海尔,17.44,18.08,17.37,18.08,18.14,-0.7,-3.8589,0.936,57069269,1004344985.0,1.11065187248e+11,1.06338703559e+11
2019-04-10,'600690,青岛海尔,18.14,18.43,17.99,18.28,18.47,-0.33,-1.7867,0.8148,49679365,902666321.0,1.15523078938e+11,1.10606885468e+11
2019-04-09,'600690,青岛海尔,18.47,19.18,18.2,18.65,18.1,0.37,2.0442,0.9486,57837526,1075225734.0,1.17624656449e+11,1.12619028368e+11
2019-04-08,'600690,青岛海尔,18.1,18.79,17.92,18.31,18.24,-0.14,-0.7675,0.9215,56189915,1033605174.0,1.1526834227e+11,1.10362989359e+11
2019-04-04,'600690,青岛海尔,18.24,18.42,18.11,18.17,18.17,0.07,0.3853,0.6123,37336363,681271183.0,1.16159920608e+11,1.1121662574e+11
2019-04-03,'600690,青岛海尔,18.17,18.24,17.73,17.91,17.87,0.3,1.6788,0.7447,45409676,816714156.0,1.15714131439e+11,1.1078980755e+11
2019-04-02,'600690,青岛海尔,17.87,18.22,17.71,18.13,18.08,-0.21,-1.1615,0.901,54938272,983006724.0,1.13803606429e+11,1.08960586731e+11
2019-04-01,'600690,青岛海尔,18.08,18.3,17.2,17.2,17.11,0.97,5.6692,1.7278,105350976,1883084820.0,1.15140973936e+11,1.10241041304e+11
2019-03-29,'600690,青岛海尔,17.11,17.18,16.42,16.5,16.48,0.63,3.8228,1.1914,72644964,1230899173.0,1.08963609737e+11,1.04326560659e+11
2019-03-28,'600690,青岛海尔,16.48,16.79,16.36,16.75,16.92,-0.44,-2.6005,0.8753,53368879,882330632.0,1.04951507216e+11,1.00485196941e+11
2019-03-27,'600690,青岛海尔,16.92,16.92,16.31,16.53,16.43,0.49,2.9823,0.7414,45206389,755053369.0,1.07753610564e+11,1.03168054141e+11
2019-03-26,'600690,青岛海尔,16.43,16.53,16.19,16.4,16.35,0.08,0.4893,0.6554,39964322,653115846.0,1.04633086381e+11,1.00180326805e+11
2019-03-25,'600690,青岛海尔,16.35,16.63,16.17,16.4,16.67,-0.32,-1.9196,0.6165,37587543,617072718.0,1.04123613045e+11,99692534586.4
2019-03-22,'600690,青岛海尔,16.67,16.87,16.51,16.68,16.68,-0.01,-0.06,0.5972,36411094,606619106.0,1.06161506389e+11,1.01643703459e+11
2019-03-21,'600690,青岛海尔,16.68,16.78,16.58,16.74,16.72,-0.04,-0.2392,0.5701,34764245,579880174.0,1.06225190556e+11,1.01704677486e+11
2019-03-20,'600690,青岛海尔,16.72,17.0,16.55,16.95,17.09,-0.37,-2.165,0.6756,41195890,689708995.0,1.06479927224e+11,1.01948573595e+11
2019-03-19,'600690,青岛海尔,17.09,17.35,16.86,17.26,17.26,-0.17,-0.9849,0.7993,48738477,828609238.0,1.08836241403e+11,1.04204612604e+11
2019-03-18,'600690,青岛海尔,17.26,17.34,16.72,16.9,16.86,0.4,2.3725,1.2526,76373968,1307849260.0,1.09918872242e+11,1.05241171068e+11
2019-03-15,'600690,青岛海尔,16.86,16.94,16.07,16.27,16.1,0.76,4.7205,1.3549,82613602,1374303271.0,1.07371505562e+11,1.02802209977e+11
2019-03-14,'600690,青岛海尔,16.1,16.36,15.9,15.99,16.06,0.04,0.2491,0.6783,41360119,668371531.0,1.0253150887e+11,98168183904.7
2019-03-13,'600690,青岛海尔,16.06,16.1,15.57,15.92,15.87,0.19,1.1972,1.0657,64982014,1030757255.0,1.02276772202e+11,97924287795.6
2019-03-12,'600690,青岛海尔,15.87,16.34,15.8,16.28,16.14,-0.27,-1.6729,1.0432,63607754,1024949191.0,1.01066773029e+11,96765781277.5
2019-03-11,'600690,青岛海尔,16.14,16.16,15.72,15.73,15.72,0.42,2.6718,0.7836,47779130,761364051.0,1.02786245538e+11,98412080013.8
2019-03-08,'600690,青岛海尔,15.72,16.44,15.71,16.44,16.7,-0.98,-5.8683,1.3044,79533806,1273001700.0,1.00111510524e+11,95851170868.4
2019-03-07,'600690,青岛海尔,16.7,17.35,16.56,17.33,17.26,-0.56,-3.2445,1.0962,66839816,1119389877.0,1.0635255889e+11,1.01826625541e+11
2019-03-06,'600690,青岛海尔,17.26,17.5,17.03,17.46,17.53,-0.27,-1.5402,0.8504,51849998,892006865.0,1.09918872242e+11,1.05241171068e+11
2019-03-05,'600690,青岛海尔,17.53,17.84,17.42,17.43,17.43,0.1,0.5737,0.6298,38399032,676418278.0,1.11638344751e+11,1.06887469804e+11
