日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300132,青松股份,13.94,14.38,13.85,14.38,14.46,-0.52,-3.5961,2.0466,7898290,110736969.34,5379724800.0,5379724800.0
2019-04-25,'300132,青松股份,14.46,14.91,14.45,14.82,14.82,-0.36,-2.4291,1.3185,5088272,74632514.01,5580403200.0,5580403200.0
2019-04-24,'300132,青松股份,14.82,14.86,14.46,14.52,14.42,0.4,2.7739,1.258,4854928,71252146.06,5719334400.0,5719334400.0
2019-04-23,'300132,青松股份,14.42,14.78,14.39,14.78,14.75,-0.33,-2.2373,1.5706,6061142,88005130.74,5564966400.0,5564966400.0
2019-04-22,'300132,青松股份,14.75,15.17,14.72,14.97,14.95,-0.2,-1.3378,1.4824,5720905,85415816.3,5692320000.0,5692320000.0
2019-04-19,'300132,青松股份,14.95,15.1,14.68,14.84,14.9,0.05,0.3356,1.8383,7094500,105473824.0,5769504000.0,5769504000.0
2019-04-18,'300132,青松股份,14.9,15.31,14.9,15.3,15.32,-0.42,-2.7415,1.7908,6911117,104356880.25,5750208000.0,5750208000.0
2019-04-17,'300132,青松股份,15.32,15.84,15.3,15.68,15.49,-0.17,-1.0975,2.0845,8044600,124846126.0,5912294400.0,5912294400.0
2019-04-16,'300132,青松股份,15.49,15.49,15.03,15.16,15.23,0.26,1.7072,1.7354,6697143,102357052.19,5977900800.0,5977900800.0
2019-04-15,'300132,青松股份,15.23,15.67,15.19,15.31,15.15,0.08,0.5281,2.5579,9871628,152189520.4,5877561600.0,5877561600.0
2019-04-12,'300132,青松股份,15.15,15.23,14.95,15.05,15.1,0.05,0.3311,1.2912,4983164,75194595.18,5846688000.0,5846688000.0
2019-04-11,'300132,青松股份,15.1,15.42,14.99,15.21,15.24,-0.14,-0.9186,2.4992,9644947,146314555.32,5827392000.0,5827392000.0
2019-04-10,'300132,青松股份,15.24,15.53,14.93,15.34,15.55,-0.31,-1.9936,2.4144,9317780,141752216.9,5881420800.0,5881420800.0
2019-04-09,'300132,青松股份,15.55,16.11,15.25,16.06,16.05,-0.5,-3.1153,3.2488,12537837,194857653.01,6001056000.0,6001056000.0
2019-04-08,'300132,青松股份,16.05,16.48,15.6,15.91,15.61,0.44,2.8187,3.9935,15411845,246654266.93,6194016000.0,6194016000.0
2019-04-04,'300132,青松股份,15.61,16.1,15.6,15.83,15.84,-0.23,-1.452,2.7614,10656935,167951075.75,6024211200.0,6024211200.0
2019-04-03,'300132,青松股份,15.84,16.15,15.65,15.84,16.03,-0.19,-1.1853,2.8537,11012846,174385176.36,6112972800.0,6112972800.0
2019-04-02,'300132,青松股份,16.03,16.59,15.25,15.41,15.39,0.64,4.1585,5.2383,20215821,321101453.29,6186297600.0,6186297600.0
2019-04-01,'300132,青松股份,15.39,15.4,15.01,15.27,15.0,0.39,2.6,4.4223,17066434,259743638.84,5939308800.0,5939308800.0
2019-03-29,'300132,青松股份,15.0,15.2,14.53,14.93,14.92,0.08,0.5362,3.6314,14014205,208659180.11,5788800000.0,5788800000.0
2019-03-28,'300132,青松股份,15.02,15.09,14.49,14.6,14.56,0.46,3.1593,4.0184,15507676,230514344.16,5796518400.0,5796518400.0
2019-03-27,'300132,青松股份,14.56,15.18,13.83,13.95,13.86,0.7,5.0505,3.0347,11711592,169020467.87,5618995200.0,5618995200.0
2019-03-26,'300132,青松股份,13.86,14.29,13.78,14.28,14.15,-0.29,-2.0495,1.5399,5942600,83114726.0,5348851200.0,5348851200.0
2019-03-25,'300132,青松股份,14.15,14.37,13.71,13.71,14.13,0.02,0.1415,2.1114,8148151,115769273.67,5460768000.0,5460768000.0
2019-03-22,'300132,青松股份,14.13,14.35,13.9,14.33,14.32,-0.19,-1.3268,2.2063,8514463,119858714.76,5453049600.0,5453049600.0
2019-03-21,'300132,青松股份,14.32,14.44,14.21,14.3,14.32,0.0,0.0,2.0341,7850139,112477904.14,5526374400.0,5526374400.0
