日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002565,顺灏股份,18.24,19.19,18.18,18.53,18.93,-0.69,-3.645,8.5809,58990927,1101969593.92,12934068177.6,12539416320.0
2019-04-25,'002565,顺灏股份,18.93,19.4,18.1,18.6,18.42,0.51,2.7687,11.5547,79435176,1502483522.54,13423350362.0,13013769240.0
2019-04-24,'002565,顺灏股份,18.42,19.13,18.2,18.99,19.1,-0.68,-3.5602,8.278,56908725,1067577499.93,13061707008.3,12663160560.0
2019-04-23,'002565,顺灏股份,19.1,19.26,18.0,18.99,18.87,0.23,1.2189,11.6493,80085450,1491599261.69,13543898146.5,13130638800.0
2019-04-22,'002565,顺灏股份,18.87,20.08,18.7,19.95,20.44,-1.57,-7.681,14.0553,96625411,1870289506.58,13380804085.0,12972521160.0
2019-04-19,'002565,顺灏股份,20.44,21.6,20.15,20.15,21.4,-0.96,-4.486,17.0586,117272386,2418629627.55,14494098330.6,14051845920.0
2019-04-18,'002565,顺灏股份,21.4,23.77,20.96,22.01,21.95,-0.55,-2.5057,24.5334,168659179,3829167551.75,15174838761.0,14711815200.0
2019-04-17,'002565,顺灏股份,21.95,21.95,19.13,19.97,19.95,2.0,10.0251,19.6837,135318811,2747511209.02,15564846299.2,15089922600.0
2019-04-16,'002565,顺灏股份,19.95,20.18,18.52,18.66,18.92,1.03,5.444,14.7731,101560514,1981803748.14,14146637069.2,13714986600.0
2019-04-15,'002565,顺灏股份,18.92,19.55,18.38,18.8,18.65,0.27,1.4477,11.931,82021478,1557622626.44,13416259315.8,13006894560.0
2019-04-12,'002565,顺灏股份,18.65,19.34,17.7,18.8,18.97,-0.32,-1.6869,13.8603,95284974,1765605275.88,13224801069.8,12821278200.0
2019-04-11,'002565,顺灏股份,18.97,20.74,18.72,19.6,20.29,-1.32,-6.5057,14.9053,102469213,2021606299.31,13451714546.5,13041267960.0
2019-04-10,'002565,顺灏股份,20.29,22.63,19.63,20.9,21.66,-1.37,-6.325,20.2536,139237000,2979640249.72,14387732638.4,13948725720.0
2019-04-09,'002565,顺灏股份,21.66,23.59,20.59,21.87,22.1,-0.44,-1.991,23.237,159746832,3504959906.61,15359205960.9,14890556880.0
2019-04-08,'002565,顺灏股份,22.1,22.1,19.51,19.51,20.09,2.01,10.005,21.644,148795313,3096692098.3,15671211991.5,15193042800.0
2019-04-04,'002565,顺灏股份,20.09,21.39,18.9,20.15,19.61,0.48,2.4477,22.5604,155095368,3164264495.4,14245911715.4,13811232120.0
2019-04-03,'002565,顺灏股份,19.61,20.32,18.55,19.5,19.2,0.41,2.1354,22.8499,157086016,3052114431.06,13905541500.1,13481247480.0
