日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300287,飞利信,5.02,5.2,4.77,4.8,4.79,0.23,4.8017,5.2454,73970933,373232711.69,7205074516.16,7079243025.48
2019-04-25,'300287,飞利信,4.79,5.06,4.76,4.9,4.99,-0.2,-4.008,3.1739,44758934,221307435.67,6874961540.32,6754895237.46
2019-04-24,'300287,飞利信,4.99,4.99,4.81,4.88,4.84,0.15,3.0992,2.3603,33285164,163519294.66,7162016301.92,7036936792.26
2019-04-23,'300287,飞利信,4.84,5.04,4.81,5.03,5.06,-0.22,-4.3478,3.3207,46828155,229466541.54,6946725230.72,6825405626.16
2019-04-22,'300287,飞利信,5.06,5.18,5.04,5.18,5.16,-0.1,-1.938,2.2629,31790171,162149142.37,7262485468.48,7108414500.0
2019-04-19,'300287,飞利信,5.16,5.19,5.04,5.11,5.11,0.05,0.9785,2.4605,34565094,176873706.1,7406012849.28,7248897000.0
2019-04-18,'300287,飞利信,5.11,5.22,5.04,5.16,5.17,-0.06,-1.1605,2.4388,34260886,175691592.06,7334249158.88,7178655750.0
2019-04-17,'300287,飞利信,5.17,5.24,5.12,5.18,5.16,0.01,0.1938,3.1334,44018385,227713232.01,7420365587.36,7262945250.0
2019-04-16,'300287,飞利信,5.16,5.16,4.92,5.02,5.04,0.12,2.381,3.1106,43698564,220835839.92,7406012849.28,7248897000.0
2019-04-15,'300287,飞利信,5.04,5.22,5.02,5.15,5.05,-0.01,-0.198,2.2845,32093292,164957688.64,7233779992.32,7080318000.0
2019-04-12,'300287,飞利信,5.05,5.13,5.01,5.03,5.03,0.02,0.3976,2.4139,33911403,171726718.78,7248132730.4,7094366250.0
2019-04-11,'300287,飞利信,5.03,5.18,5.01,5.13,5.16,-0.13,-2.5194,2.8788,40442662,205796764.8,7219427254.24,7066269750.0
2019-04-10,'300287,飞利信,5.16,5.26,5.03,5.16,5.47,-0.31,-5.6673,5.4307,76291902,392558163.48,7406012849.28,7248897000.0
2019-04-09,'300287,飞利信,5.47,5.51,5.33,5.35,5.4,0.07,1.2963,2.8451,39968633,217548760.7,7850947729.76,7684392750.0
2019-04-08,'300287,飞利信,5.4,5.65,5.3,5.65,5.62,-0.22,-3.9146,4.6618,65490506,356564025.36,7750478563.2,7586055000.0
2019-04-04,'300287,飞利信,5.62,5.85,5.59,5.78,5.7,-0.08,-1.4035,4.9275,69222515,393005230.12,8066238800.96,7895116500.0
2019-04-03,'300287,飞利信,5.7,5.7,5.42,5.48,5.51,0.19,3.4483,4.9102,68980256,382904134.74,8181060705.6,8007502500.0
2019-04-02,'300287,飞利信,5.51,5.77,5.5,5.71,5.57,-0.06,-1.0772,5.7923,81371686,456058116.13,7908358682.08,7740585750.0
2019-04-01,'300287,飞利信,5.57,5.57,5.27,5.27,5.27,0.3,5.6926,5.0809,71377063,388987845.4,7994475110.56,7824875250.0
2019-03-29,'300287,飞利信,5.27,5.28,4.97,5.15,5.12,0.15,2.9297,4.0027,56231123,289728284.32,7563892968.16,7403427750.0
2019-03-28,'300287,飞利信,5.12,5.37,5.11,5.12,5.27,-0.15,-2.8463,3.6509,51288259,268782635.33,7348601896.96,7192704000.0
2019-03-27,'300287,飞利信,5.27,5.45,4.99,5.45,5.52,-0.25,-4.529,5.7631,80961956,426256537.1,7563892968.16,7403427750.0
2019-03-26,'300287,飞利信,5.52,5.93,5.44,5.5,5.45,0.07,1.2844,9.8534,138423452,783828102.44,7922711420.16,7754634000.0
2019-03-25,'300287,飞利信,5.45,5.55,5.19,5.24,5.4,0.05,0.9259,5.2602,73896057,397688345.6,7822242253.6,7656296250.0
2019-03-22,'300287,飞利信,5.4,5.46,5.22,5.45,5.46,-0.06,-1.0989,3.5335,49639106,265665290.76,7750478563.2,7586055000.0
2019-03-21,'300287,飞利信,5.46,5.59,5.29,5.35,5.37,0.09,1.676,5.9506,83595268,457880748.14,7836594991.68,7670344500.0
2019-03-20,'300287,飞利信,5.37,5.39,5.15,5.39,5.39,-0.02,-0.3711,4.2461,59649608,315167801.86,7707420348.96,7543910250.0
2019-03-19,'300287,飞利信,5.39,5.55,5.23,5.33,5.33,0.06,1.1257,4.5432,63824296,344857263.22,7736125825.12,7572006750.0
2019-03-18,'300287,飞利信,5.33,5.33,5.14,5.23,5.19,0.14,2.6975,3.8798,54504150,286294260.49,7650009396.64,7487717250.0
2019-03-15,'300287,飞利信,5.19,5.37,5.08,5.32,5.25,-0.06,-1.1429,4.7823,67182417,351902392.14,7449071063.52,7291041750.0
2019-03-14,'300287,飞利信,5.25,5.55,5.14,5.48,5.63,-0.38,-6.7496,7.929,111387953,592698652.98,7535187492.0,7375331250.0
2019-03-13,'300287,飞利信,5.63,6.16,5.63,6.16,6.26,-0.63,-10.0639,11.1492,156627099,911678463.96,8080591539.04,7909164750.0
2019-03-12,'300287,飞利信,6.26,6.39,5.98,6.05,6.13,0.13,2.1207,12.9883,182462906,1128461116.07,8984814038.08,8794204500.0
2019-03-11,'300287,飞利信,6.13,6.89,5.77,6.52,6.32,-0.19,-3.0063,13.5604,190500520,1177722068.87,8798228443.04,8611577250.0
2019-03-08,'300287,飞利信,6.32,6.33,5.3,5.4,5.75,0.57,9.913,15.9816,224513257,1341865631.72,9070930466.56,8878494000.0
2019-03-07,'300287,飞利信,5.75,5.95,5.41,5.6,5.41,0.34,6.2847,16.4831,231558164,1310764618.8,8252824396.0,8077743750.0
