日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002827,高争民爆,16.24,16.56,16.2,16.4,16.3,-0.06,-0.3681,2.2833,1441800,23592015.0,2988160000.0,1025499160.0
2019-04-25,'002827,高争民爆,16.3,17.1,16.25,16.95,17.08,-0.78,-4.5667,3.4582,2183762,36363653.16,2999200000.0,1029287950.0
2019-04-24,'002827,高争民爆,17.08,17.15,16.59,16.9,16.84,0.24,1.4252,3.0412,1920400,32374086.0,3142720000.0,1078542220.0
2019-04-23,'002827,高争民爆,16.84,17.65,16.82,17.6,17.54,-0.7,-3.9909,4.3316,2735273,47109170.32,3098560000.0,1063387060.0
2019-04-22,'002827,高争民爆,17.54,18.2,17.42,18.18,18.18,-0.64,-3.5204,4.9862,3148600,56138642.0,3227360000.0,1107589610.0
2019-04-19,'002827,高争民爆,18.18,18.37,17.71,18.03,17.71,0.47,2.6539,7.4454,4701500,85039492.38,3345120000.0,1148003370.0
2019-04-18,'002827,高争民爆,17.71,18.1,17.63,17.94,17.93,-0.22,-1.227,4.4535,2812200,50105520.0,3258640000.0,1118324515.0
2019-04-17,'002827,高争民爆,17.93,18.29,17.81,17.93,18.11,-0.18,-0.9939,5.0883,3213100,57916355.0,3299120000.0,1132216745.0
2019-04-16,'002827,高争民爆,18.11,18.15,17.43,17.55,17.76,0.35,1.9707,5.3454,3375462,60515835.12,3332240000.0,1143583115.0
2019-04-15,'002827,高争民爆,17.76,18.32,17.75,17.96,18.15,-0.39,-2.1488,6.6814,4219062,76213763.06,3267840000.0,1121481840.0
2019-04-12,'002827,高争民爆,18.15,18.18,16.95,17.46,17.57,0.58,3.3011,8.125,5130635,90973845.55,3339600000.0,1146108975.0
2019-04-11,'002827,高争民爆,17.57,17.95,17.28,17.48,17.42,0.15,0.8611,6.398,4040100,71222079.0,3232880000.0,1109484005.0
