日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300098,高新兴,9.83,10.13,9.7,9.92,9.89,-0.06,-0.6067,1.9989,34225964,339783120.66,17344969424.1,16831189424.3
2019-04-25,'300098,高新兴,9.89,10.5,9.87,10.47,10.56,-0.67,-6.3447,2.3711,40598482,413164781.69,17450839023.8,16933923032.2
2019-04-24,'300098,高新兴,10.56,10.57,10.16,10.45,10.37,0.19,1.8322,1.8122,31028700,322017316.41,18633049554.2,18081114986.9
2019-04-23,'300098,高新兴,10.37,10.71,10.29,10.61,10.69,-0.32,-2.9935,1.9867,34016026,356917556.71,18297795821.7,17755791895.3
2019-04-22,'300098,高新兴,10.69,11.05,10.55,10.65,10.6,0.09,0.8491,3.0286,51856697,560084841.95,18862433687.0,18303704470.6
2019-04-19,'300098,高新兴,10.6,10.79,10.31,10.78,10.75,-0.15,-1.3953,2.1429,36690789,386696133.29,18703629287.4,18149604058.8
2019-04-18,'300098,高新兴,10.75,10.86,10.51,10.72,10.64,0.11,1.0338,2.3927,40968950,437966476.9,18968303286.8,18406438078.5
2019-04-17,'300098,高新兴,10.64,11.1,10.63,10.85,10.88,-0.24,-2.2059,3.2199,55131748,595492800.01,18774209020.6,18218093130.7
2019-04-16,'300098,高新兴,10.88,10.94,9.86,10.1,10.28,0.6,5.8366,4.9918,85471668,894663632.24,19197687419.5,18629027562.2
2019-04-15,'300098,高新兴,10.28,10.72,10.26,10.42,10.22,0.06,0.5871,3.794,64962202,683372734.52,18138991422.1,17601691483.4
2019-04-12,'300098,高新兴,10.22,10.24,9.91,10.1,10.05,0.17,1.6915,1.5827,27099342,272831033.58,18033121822.4,17498957875.6
2019-04-11,'300098,高新兴,10.05,10.59,9.98,10.24,10.3,-0.25,-2.4272,2.5662,43939362,451275355.59,17733157956.5,17207879319.9
