»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'600804,≈Ù≤© ø,11.71,12.34,11.02,11.11,11.22,0.49,4.3672,9.5013,136092936,1619282064.0,16774065603.3,16772910528.9
2019-04-25,'600804,≈Ù≤© ø,11.22,12.07,11.22,11.55,11.59,-0.37,-3.1924,5.6588,81053830,943866134.0,16072161918.8,16071055178.0
2019-04-24,'600804,≈Ù≤© ø,11.59,11.59,11.1,11.3,11.24,0.35,3.1139,4.2822,61337112,699618306.0,16602170823.4,16601027585.8
2019-04-23,'600804,≈Ù≤© ø,11.24,11.66,11.02,11.5,11.75,-0.51,-4.3404,4.799,68738714,778603715.0,16100811048.8,16099702335.2
2019-04-22,'600804,≈Ù≤© ø,11.75,12.44,11.66,12.16,12.14,-0.39,-3.2125,5.8499,83791037,1011290115.0,16831363863.2,16830204843.2
2019-04-19,'600804,≈Ù≤© ø,12.14,12.19,11.31,11.66,11.76,0.38,3.2313,7.1066,101791742,1207834878.0,17390021897.9,17388824408.3
2019-04-18,'600804,≈Ù≤© ø,11.76,11.95,11.17,11.37,11.42,0.34,2.9772,6.5388,93659000,1089341743.0,16845688428.2,16844528421.8
2019-04-17,'600804,≈Ù≤© ø,11.42,11.79,11.32,11.62,11.75,-0.33,-2.8085,5.6497,80924364,930854060.0,16358653218.6,16357526749.8
2019-04-16,'600804,≈Ù≤© ø,11.75,11.85,11.09,11.12,11.29,0.46,4.0744,7.9084,113276105,1305462743.0,16831363863.2,16830204843.2
2019-04-15,'600804,≈Ù≤© ø,11.29,11.39,10.95,11.24,11.18,0.11,0.9839,6.719,96240754,1079570119.0,16172433873.7,16171320228.1
2019-04-12,'600804,≈Ù≤© ø,11.18,11.29,10.37,10.37,10.34,0.84,8.1238,8.9544,128259243,1411144204.0,16014863658.8,16013760863.6
2019-04-11,'600804,≈Ù≤© ø,10.34,10.46,10.14,10.36,10.42,-0.08,-0.7678,2.8575,40929974,420084235.0,14811600199.7,14810580262.1
2019-04-10,'600804,≈Ù≤© ø,10.42,10.58,10.2,10.48,10.53,-0.11,-1.0446,2.3381,33490504,347116408.0,14926196719.6,14925168890.8
2019-04-09,'600804,≈Ù≤© ø,10.53,10.68,10.39,10.4,10.38,0.15,1.4451,1.9519,27958663,295033012.0,15083766934.5,15082728255.3
2019-04-08,'600804,≈Ù≤© ø,10.38,10.81,10.28,10.75,10.7,-0.32,-2.9907,3.3567,48080507,505063781.0,14868898459.6,14867874576.4
2019-04-04,'600804,≈Ù≤© ø,10.7,10.95,10.65,10.86,10.92,-0.22,-2.0147,3.6749,52638084,566212867.0,15327284539.3,15326229091.3
2019-04-03,'600804,≈Ù≤© ø,10.92,11.03,10.7,10.75,10.85,0.07,0.6452,2.8445,40743242,443598044.0,15642424969.1,15641347820.3
2019-04-02,'600804,≈Ù≤© ø,10.85,11.11,10.74,10.98,10.93,-0.08,-0.7319,3.8224,54750578,600422713.0,15542153014.1,15541082770.1
2019-04-01,'600804,≈Ù≤© ø,10.93,10.98,10.64,10.66,10.59,0.34,3.2106,3.5031,50176666,545046168.0,15656749534.1,15655671398.9
2019-03-29,'600804,≈Ù≤© ø,10.59,10.59,9.97,10.25,10.24,0.35,3.418,2.7383,39221923,405285216.0,15169714324.4,15168669726.8
2019-03-28,'600804,≈Ù≤© ø,10.24,10.75,10.22,10.4,10.58,-0.34,-3.2136,2.3718,33973297,355319729.0,14668354549.8,14667344476.2
2019-03-27,'600804,≈Ù≤© ø,10.58,10.88,10.5,10.79,10.77,-0.19,-1.7642,2.0123,28823240,306523970.0,15155389759.4,15154346148.2
