�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-26,'600510,窪警竣,6.69,6.86,6.68,6.78,6.83,-0.14,-2.0498,0.2701,2828600,19106408.0,7005065717.25,7005065717.25
2019-04-25,'600510,窪警竣,6.83,7.12,6.82,7.09,7.12,-0.29,-4.073,0.3752,3928602,27396159.0,7151659020.75,7151659020.75
2019-04-24,'600510,窪警竣,7.12,7.19,7.05,7.14,7.13,-0.01,-0.1403,0.3561,3728730,26564803.0,7455316578.0,7455316578.0
2019-04-23,'600510,窪警竣,7.13,7.45,7.13,7.39,7.55,-0.42,-5.5629,0.6909,7234106,52606240.0,7465787528.25,7465787528.25
2019-04-22,'600510,窪警竣,7.55,7.55,7.11,7.36,7.36,0.19,2.5815,0.8614,9019650,65915444.0,7905567438.75,7905567438.75
2019-04-19,'600510,窪警竣,7.36,7.41,7.15,7.22,7.19,0.17,2.3644,0.6889,7213747,52530320.0,7706619384.0,7706619384.0
2019-04-18,'600510,窪警竣,7.19,7.54,7.15,7.46,7.44,-0.25,-3.3602,0.7639,7998641,58155932.0,7528613229.75,7528613229.75
2019-04-17,'600510,窪警竣,7.44,7.55,7.39,7.55,7.55,-0.11,-1.457,0.605,6335018,47152536.0,7790386986.0,7790386986.0
2019-04-16,'600510,窪警竣,7.55,7.55,7.02,7.1,7.06,0.49,6.9405,0.854,8942591,66037882.0,7905567438.75,7905567438.75
2019-04-15,'600510,窪警竣,7.06,7.26,7.06,7.17,7.12,-0.06,-0.8427,0.2326,2435300,17459595.0,7392490876.5,7392490876.5
2019-04-12,'600510,窪警竣,7.12,7.25,7.09,7.25,7.21,-0.09,-1.2483,0.3225,3377217,24117977.0,7455316578.0,7455316578.0
2019-04-11,'600510,窪警竣,7.21,7.45,7.17,7.26,7.22,-0.01,-0.1385,0.5446,5702490,41727613.0,7549555130.25,7549555130.25
2019-04-10,'600510,窪警竣,7.22,7.49,6.93,7.0,7.07,0.15,2.1216,0.7274,7616135,54545429.0,7560026080.5,7560026080.5
2019-04-09,'600510,窪警竣,7.07,7.08,6.94,7.03,6.98,0.09,1.2894,0.4169,4365734,30592614.0,7402961826.75,7402961826.75
2019-04-08,'600510,窪警竣,6.98,7.17,6.88,7.02,7.0,-0.02,-0.2857,0.5109,5349101,37520578.0,7308723274.5,7308723274.5
2019-04-04,'600510,窪警竣,7.0,7.07,6.96,7.07,7.01,-0.01,-0.1427,0.4087,4279635,29998614.0,7329665175.0,7329665175.0
