ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300378,¶¦½ÝÈí¼þ,17.31,18.07,17.31,17.69,17.65,-0.34,-1.9263,5.5295,14511527,257208783.38,4581270537.33,4542842337.33
2019-04-25,'300378,¶¦½ÝÈí¼þ,17.65,18.95,17.41,18.95,19.19,-1.54,-8.025,8.0323,21079916,383547142.52,4671255053.95,4632072053.95
2019-04-24,'300378,¶¦½ÝÈí¼þ,19.19,19.26,18.53,18.91,18.82,0.37,1.966,6.2829,16488741,312291039.8,5078831982.17,5036230182.17
2019-04-23,'300378,¶¦½ÝÈí¼þ,18.82,19.35,18.57,19.11,18.88,-0.06,-0.3178,6.4317,16879403,320624576.1,4980907655.26,4939127255.26
2019-04-22,'300378,¶¦½ÝÈí¼þ,18.88,19.82,18.78,19.75,19.96,-1.08,-5.4108,9.4455,24788823,474595251.05,4996787275.84,4954873675.84
2019-04-19,'300378,¶¦½ÝÈí¼þ,19.96,20.54,19.7,19.88,20.0,-0.04,-0.2,11.3123,29687966,597933341.82,5282620446.28,5238309246.28
2019-04-18,'300378,¶¦½ÝÈí¼þ,20.0,20.6,19.33,19.84,20.03,-0.03,-0.1498,12.5869,33033214,659857428.57,5293206860.0,5248806860.0
2019-04-17,'300378,¶¦½ÝÈí¼þ,20.03,20.5,19.68,19.85,20.01,0.02,0.1,11.345,29773812,595722526.54,5301146670.29,5256680070.29
2019-04-16,'300378,¶¦½ÝÈí¼þ,20.01,20.13,19.25,19.94,19.78,0.23,1.1628,12.5008,32807139,647409740.68,5295853463.43,5251431263.43
2019-04-15,'300378,¶¦½ÝÈí¼þ,19.78,20.81,19.65,20.39,21.1,-1.32,-6.2559,17.5703,46111528,930271372.64,5234981584.54,5191069984.54
2019-04-12,'300378,¶¦½ÝÈí¼þ,21.1,21.52,21.1,21.1,23.44,-2.34,-9.9829,13.7014,35958110,758992925.15,5584333237.3,5537491237.3
2019-04-11,'300378,¶¦½ÝÈí¼þ,23.44,25.99,23.44,25.0,26.04,-2.6,-9.9846,17.5127,45960503,1095426692.33,6203638439.92,6151601639.92
2019-04-10,'300378,¶¦½ÝÈí¼þ,26.04,26.04,24.65,25.0,23.67,2.37,10.0127,16.0831,42208424,1063983763.18,6891755331.72,6833946531.72
2019-04-09,'300378,¶¦½ÝÈí¼þ,23.67,23.67,22.4,23.2,21.52,2.15,9.9907,8.2196,21571643,495650083.01,6264510318.81,6211962918.81
2019-04-08,'300378,¶¦½ÝÈí¼þ,21.52,21.52,20.32,21.52,19.56,1.96,10.0204,13.6068,35709619,759645459.66,5695490581.36,5647716181.36
2019-04-04,'300378,¶¦½ÝÈí¼þ,19.56,19.56,19.56,19.56,17.78,1.78,10.0112,0.6686,1754764,34323183.84,5176756309.08,5133333109.08
2019-04-03,'300378,¶¦½ÝÈí¼þ,17.78,17.78,16.25,16.5,16.16,1.62,10.0248,2.2708,5959618,103235164.22,4705660898.54,4666189298.54
2019-04-02,'300378,¶¦½ÝÈí¼þ,16.16,16.16,14.7,15.0,14.69,1.47,10.0068,6.984,18328798,284892424.3,4276911142.88,4241035942.88
2019-04-01,'300378,¶¦½ÝÈí¼þ,14.69,14.93,14.49,14.49,14.35,0.34,2.3693,4.0176,10543776,155588395.4,3887860438.67,3855248638.67
2019-03-29,'300378,¶¦½ÝÈí¼þ,14.35,14.44,13.51,13.62,13.58,0.77,5.6701,3.8263,10041666,140810932.93,3797875922.05,3766018922.05
2019-03-28,'300378,¶¦½ÝÈí¼þ,13.58,13.79,13.13,13.28,13.4,0.18,1.3433,3.9922,10477240,142268512.0,3594087457.94,3563939857.94
2019-03-27,'300378,¶¦½ÝÈí¼þ,13.4,13.94,12.96,13.85,14.28,-0.88,-6.1625,4.9873,13088683,175027996.93,3546448596.2,3516700596.2
2019-03-26,'300378,¶¦½ÝÈí¼þ,14.28,14.76,14.19,14.3,14.28,0.0,0.0,3.415,8962283,129519012.02,3779349698.04,3747648098.04
2019-03-25,'300378,¶¦½ÝÈí¼þ,14.28,14.62,13.96,14.25,14.6,-0.32,-2.1918,2.8456,7467887,107404101.08,3779349698.04,3747648098.04
2019-03-22,'300378,¶¦½ÝÈí¼þ,14.6,14.93,14.18,14.62,14.57,0.03,0.2059,3.972,10424140,151564233.71,3864041007.8,3831629007.8
2019-03-21,'300378,¶¦½ÝÈí¼þ,14.57,14.98,14.32,14.41,14.31,0.26,1.8169,4.0719,10686316,156655256.36,3856101197.51,3823755797.51
2019-03-20,'300378,¶¦½ÝÈí¼þ,14.31,14.65,13.95,14.45,14.54,-0.23,-1.5818,3.1359,8229836,117606863.48,3787289508.33,3755521308.33
2019-03-19,'300378,¶¦½ÝÈí¼þ,14.54,14.89,14.26,14.45,14.39,0.15,1.0424,3.0444,7989615,116443905.6,3848161387.22,3815882587.22
2019-03-18,'300378,¶¦½ÝÈí¼þ,14.39,14.49,14.18,14.33,14.17,0.22,1.5526,2.3366,6132092,87938605.52,3808462335.77,3776516535.77
2019-03-15,'300378,¶¦½ÝÈí¼þ,14.17,14.8,13.97,14.45,14.36,-0.19,-1.3231,2.7909,7324357,105343769.91,3750237060.31,3718779660.31
2019-03-14,'300378,¶¦½ÝÈí¼þ,14.36,14.81,13.78,14.68,14.68,-0.32,-2.1798,4.0072,10516592,149807438.76,3800522525.48,3768643325.48
2019-03-13,'300378,¶¦½ÝÈí¼þ,14.68,15.65,14.59,15.5,15.63,-0.95,-6.0781,4.8007,12598858,189902588.78,3885213835.24,3852624235.24
2019-03-12,'300378,¶¦½ÝÈí¼þ,15.63,16.24,15.05,15.55,15.33,0.3,1.9569,7.1397,18737393,294801009.08,4136641161.09,4101942561.09
2019-03-11,'300378,¶¦½ÝÈí¼þ,15.33,15.4,14.16,14.58,14.3,1.03,7.2028,5.0925,13364717,197510279.6,4057243058.19,4023210458.19
2019-03-08,'300378,¶¦½ÝÈí¼þ,14.3,15.59,14.1,14.1,14.8,-0.5,-3.3784,8.5799,22517086,336487228.57,3784642904.9,3752896904.9
2019-03-07,'300378,¶¦½ÝÈí¼þ,14.8,14.95,13.43,13.5,13.59,1.21,8.9036,8.9262,23425824,339356988.77,3916973076.4,3884117076.4
2019-03-06,'300378,¶¦½ÝÈí¼þ,13.59,13.97,13.17,13.6,13.38,0.21,1.5695,5.4706,14357109,193765519.53,3596734061.37,3566564261.37
2019-03-05,'300378,¶¦½ÝÈí¼þ,13.38,13.38,12.55,12.57,12.71,0.67,5.2714,5.0917,13362667,173768497.59,3541155389.34,3511451789.34
2019-03-04,'300378,¶¦½ÝÈí¼þ,12.71,13.25,12.57,12.59,12.4,0.31,2.5,5.4996,14433045,184941663.14,3363832959.53,3335616759.53
2019-03-01,'300378,¶¦½ÝÈí¼þ,12.4,12.54,12.14,12.42,12.41,-0.01,-0.0806,2.6479,6949103,85916643.72,3281788253.2,3254260253.2
2019-02-28,'300378,¶¦½ÝÈí¼þ,12.41,12.68,12.26,12.48,12.75,-0.34,-2.6667,3.7686,9890270,123067684.99,3284434856.63,3256884656.63
2019-02-27,'300378,¶¦½ÝÈí¼þ,12.75,13.08,12.4,12.51,12.51,0.24,1.9185,5.2299,13725463,175090879.25,3374419373.25,3346114373.25
2019-02-26,'300378,¶¦½ÝÈí¼þ,12.51,13.13,12.34,12.75,12.76,-0.25,-1.9592,5.696,14948574,188822048.05,3310900890.93,3283128690.93
2019-02-25,'300378,¶¦½ÝÈí¼þ,12.76,12.83,12.1,12.22,11.87,0.89,7.4979,5.6421,14807225,184292182.31,3377065976.68,3348738776.68
2019-02-22,'300378,¶¦½ÝÈí¼þ,11.87,11.92,11.22,11.22,11.26,0.61,5.4174,4.2888,11255458,131213143.68,3141518271.41,3115166871.41
2019-02-21,'300378,¶¦½ÝÈí¼þ,11.26,11.71,11.2,11.4,11.4,-0.14,-1.2281,3.6306,9528175,109064051.29,2980075462.18,2955078262.18
2019-02-20,'300378,¶¦½ÝÈí¼þ,11.4,11.43,11.16,11.38,11.42,-0.02,-0.1751,2.1158,5552616,62737022.58,3017127910.2,2991819910.2
2019-02-19,'300378,¶¦½ÝÈí¼þ,11.42,11.85,11.24,11.38,11.4,0.02,0.1754,3.8398,10077166,115812454.48,3022421117.06,2997068717.06
2019-02-18,'300378,¶¦½ÝÈí¼þ,11.4,11.43,10.99,10.99,10.96,0.44,4.0146,3.0141,7910241,89161652.95,3017127910.2,2991819910.2
2019-02-15,'300378,¶¦½ÝÈí¼þ,10.96,11.14,10.88,10.97,10.94,0.02,0.1828,2.1733,5703686,62740263.68,2900677359.28,2876346159.28
2019-02-14,'300378,¶¦½ÝÈí¼þ,10.94,11.04,10.87,11.01,11.05,-0.11,-0.9955,2.1183,5559145,60789766.65,2895384152.42,2871097352.42
2019-02-13,'300378,¶¦½ÝÈí¼þ,11.05,11.23,10.67,10.72,10.76,0.29,2.6952,3.6806,9659448,105637973.9,2924496790.15,2899965790.15
2019-02-12,'300378,¶¦½ÝÈí¼þ,10.76,10.82,10.57,10.67,10.67,0.09,0.8435,1.8904,4961252,52998869.04,2847745290.68,2823858090.68
2019-02-11,'300378,¶¦½ÝÈí¼þ,10.67,10.67,10.35,10.39,10.34,0.33,3.1915,1.5945,4184609,44112528.53,2823925859.81,2800238459.81
2019-02-01,'300378,¶¦½ÝÈí¼þ,10.34,10.38,9.99,9.99,9.97,0.37,3.7111,1.2108,3177595,32482812.56,2736587946.62,2713633146.62
2019-01-31,'300378,¶¦½ÝÈí¼þ,9.97,10.16,9.85,9.95,9.82,0.15,1.5275,1.4121,3705991,37155927.99,2638663619.71,2616530219.71
2019-01-30,'300378,¶¦½ÝÈí¼þ,9.82,10.1,9.8,9.9,10.04,-0.22,-2.1912,1.0427,2736429,27202606.06,2598964568.26,2577164168.26
2019-01-29,'300378,¶¦½ÝÈí¼þ,10.04,10.45,9.91,10.44,10.46,-0.42,-4.0153,1.67,4382877,44202292.47,2657189843.72,2634901043.72
2019-01-28,'300378,¶¦½ÝÈí¼þ,10.46,10.72,10.42,10.45,10.4,0.06,0.5769,1.4567,3822912,40386473.35,2768347187.78,2745125987.78
2019-01-25,'300378,¶¦½ÝÈí¼þ,10.4,10.69,10.38,10.69,10.68,-0.28,-2.6217,1.6537,4340000,45776545.0,2752467567.2,2729379567.2
2019-01-24,'300378,¶¦½ÝÈí¼þ,10.68,10.77,10.44,10.54,10.53,0.15,1.4245,2.0238,5311344,56570702.82,2826572463.24,2802862863.24
2019-01-23,'300378,¶¦½ÝÈí¼þ,10.53,10.56,10.39,10.46,10.53,0.0,0.0,0.8956,2350315,24605883.41,2786873411.79,2763496811.79
2019-01-22,'300378,¶¦½ÝÈí¼þ,10.53,10.65,10.45,10.58,10.57,-0.04,-0.3784,1.2781,3354284,35331154.9,2786873411.79,2763496811.79
2019-01-21,'300378,¶¦½ÝÈí¼þ,10.57,10.72,10.51,10.6,10.61,-0.04,-0.377,1.5196,3988083,42305678.56,2797459825.51,2773994425.51
2019-01-18,'300378,¶¦½ÝÈí¼þ,10.61,10.75,10.45,10.65,10.62,-0.01,-0.0942,2.1625,5675167,60072862.41,2808046239.23,2784492039.23
2019-01-17,'300378,¶¦½ÝÈí¼þ,10.62,10.96,10.58,10.85,10.84,-0.22,-2.0295,2.5337,6649567,71452142.88,2810692842.66,2787116442.66
2019-01-16,'300378,¶¦½ÝÈí¼þ,10.84,11.28,10.82,10.99,11.0,-0.16,-1.4545,4.0483,10624263,117024323.5,2868918118.12,2844853318.12
2019-01-15,'300378,¶¦½ÝÈí¼þ,11.0,11.22,10.28,10.28,10.33,0.67,6.486,5.0447,13239242,144061472.01,2911263773.0,2886843773.0
2019-01-14,'300378,¶¦½ÝÈí¼þ,10.33,10.65,10.3,10.58,10.61,-0.28,-2.639,1.2678,3327089,34613275.92,2733941343.19,2711008743.19
2019-01-11,'300378,¶¦½ÝÈí¼þ,10.61,10.71,10.43,10.51,10.45,0.16,1.5311,1.468,3852640,40636062.87,2808046239.23,2784492039.23
2019-01-10,'300378,¶¦½ÝÈí¼þ,10.45,10.63,10.35,10.39,10.39,0.06,0.5775,1.6653,4370393,45963187.42,2765700584.35,2742501584.35
2019-01-09,'300378,¶¦½ÝÈí¼þ,10.39,10.67,10.37,10.5,10.5,-0.11,-1.0476,2.0697,5431820,57327317.74,2749820963.77,2726755163.77
2019-01-08,'300378,¶¦½ÝÈí¼þ,10.5,10.58,10.42,10.52,10.56,-0.06,-0.5682,1.2666,3324124,34874443.03,2778933601.5,2755623601.5
2019-01-07,'300378,¶¦½ÝÈí¼þ,10.56,10.65,10.4,10.45,10.44,0.12,1.1494,2.0701,5432658,57042138.34,2794813222.08,2771370022.08
