股票名称,股票跌幅1,股票跌幅2,股票跌幅3,总跌幅,股票涨幅,
万东医疗_0600055.csv,-3.1008,-0.6928,-1.2167,-5.0103,0.4,
万集科技_1300552.csv,-5.7915,-1.446,-10.0,-17.2375,4.959,
中兴通讯_1000063.csv,-3.9121,-1.4354,-3.346,-8.6935,1.5453,
中国中期_1000996.csv,-7.5679,-0.2305,-8.6842,-16.4826,0.3125,
中钢天源_1002057.csv,-9.9458,-0.0903,-10.0,-20.036099999999998,4.6185,
九华旅游_0603199.csv,-5.1845,-1.5145,-3.1433,-9.8423,0.4634,
九强生物_1300406.csv,-2.0501,-0.9588,-2.314,-5.322900000000001,0.407,
亚夏汽车_1002607.csv,-2.1858,-1.9142,-1.7306,-5.8306,0.2394,
京蓝科技_1000711.csv,-7.482,-0.7143,-1.9608,-10.157100000000002,0.0,
仁和药业_1000650.csv,-0.3505,-3.0578,-0.1131,-3.5214,3.2825,
任子行_1300311.csv,-5.2133,-3.4325,-5.5135,-14.159300000000002,1.125,
兴业科技_1002674.csv,-4.1812,0.0,-5.3326,-9.5138,1.0909,
凯撒文化_1002425.csv,-4.782,0.0,-3.0014,-7.7834,1.3294,
创业黑马_1300688.csv,-3.2378,-0.9547,-2.0149,-6.2074,1.7369,
华铁科技_0603300.csv,-3.7328,-2.7698,-2.058,-8.5606,0.6122,
卓翼科技_1002369.csv,-3.9216,-1.1841,-9.9806,-15.086300000000001,0.4535,
博迈科_0603727.csv,-5.1072,-2.1592,-4.7591,-12.0255,0.0,
博雅生物_1300294.csv,-0.776,-0.1348,-2.5287,-3.4395000000000002,0.8501,
国际实业_1000159.csv,-9.9167,-8.046,-10.0,-27.962699999999998,1.5726,
天创时尚_0603608.csv,-2.3669,-0.5882,-2.2052,-5.160299999999999,0.0,
天泽信息_1300209.csv,-5.6775,-0.8258,-4.7891,-11.2924,0.8026,
天铁股份_1300587.csv,-7.7178,-1.2295,-6.0092,-14.9565,2.0234,
奥马电器_1002668.csv,-9.0103,-4.782,-10.0,-23.7923,3.7338,
宝塔实业_1000595.csv,-4.1775,-4.01,-9.9323,-18.119799999999998,3.8147,
富通鑫茂_1000836.csv,-5.4717,-1.3035,-10.0503,-16.825499999999998,0.998,
山东黄金_0600547.csv,-0.8475,-0.7068,-2.4302,-3.9845,0.8889,
山鼎设计_1300492.csv,-7.7592,-9.9971,-9.9896,-27.7459,0.1745,
岳阳林纸_0600963.csv,-5.303,-3.7901,-9.9738,-19.0669,0.48,
广信股份_0603599.csv,-4.6617,-0.509,-1.0078,-6.1785,1.3715,
广聚能源_1000096.csv,-3.0439,-0.3568,-3.0277,-6.4284,4.8938,
康惠制药_0603139.csv,-3.8147,-0.7572,-3.6979,-8.2698,0.17,
旭光股份_0600353.csv,-8.2126,-0.7987,-7.8056,-16.8169,0.1754,
汇金科技_1300561.csv,-5.1786,-4.9236,-9.9847,-20.0869,9.9812,
汇鸿集团_0600981.csv,-6.6908,-1.9504,-3.5897,-12.2309,0.0,
江苏索普_0600746.csv,-8.1886,-2.657,-6.6516,-17.4972,2.027,
海信家电_1000921.csv,-3.8602,-2.9682,-5.3512,-12.1796,2.7273,
深信服_1300454.csv,-2.51,-0.2404,-1.6839,-4.4343,2.4923,
深桑达A_1000032.csv,-4.6826,-0.5176,-5.1081,-10.3083,2.0742,
湖南黄金_1002155.csv,-1.5951,-0.1225,-3.66,-5.3776,0.2494,
田中精机_1300461.csv,-1.726,0.0,0.0,-1.726,0.6452,
登云股份_1002715.csv,-2.9032,-0.161,-3.3714,-6.4356,1.2182,
盐津铺子_1002847.csv,-2.5692,-2.6948,-3.7801,-9.0441,3.4589,
纳尔股份_1002825.csv,-1.8203,-1.7877,-3.8668,-7.4748,1.6802,
置信电气_0600517.csv,-4.9061,-5.7087,-10.0089,-20.6237,0.3293,
腾达建设_0600512.csv,-5.4054,-0.6711,-4.1801,-10.2566,0.0,
英科医疗_1300677.csv,-5.7115,-0.7331,-2.849,-9.293600000000001,3.3943,
荃银高科_1300087.csv,-5.6471,0.0,-4.7085,-10.355599999999999,0.7481,
葵花药业_1002737.csv,-3.7126,-1.3585,-1.5698,-6.6409,0.995,
贵研铂业_0600459.csv,-6.7223,-0.2935,-9.9956,-17.0114,0.1052,
道森股份_0603800.csv,-6.4233,-1.004,-2.6076,-10.0349,0.578,
金域医学_0603882.csv,-1.9333,-0.3984,-2.5558,-4.8875,9.9932,
金新农_1002548.csv,-1.4398,-0.3262,-2.9747,-4.7407,1.1952,
金达威_1002626.csv,-0.5629,0.0,-5.4965,-6.0594,1.8868,
银邦股份_1300337.csv,-8.2979,-1.2605,-5.7426,-15.301000000000002,0.232,
鲁阳节能_1002088.csv,-1.9081,-1.049,-0.2789,-3.2359999999999998,0.6484,
齐翔腾达_1002408.csv,-8.2559,-1.1224,-3.0663,-12.444600000000001,0.1125,
